,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31
Investments,-78400000.0,-60400000.0,-834000000.0,-807700000.0,193200000.0
Change To Liabilities,25900000.0,57000000.0,108800000.0,213100000.0,66700000.0
Total Cashflows From Investing Activities,-144400000.0,-139800000.0,-1015200000.0,-1018000000.0,-216100000.0
Total Cash From Financing Activities,399100000.0,710400000.0,10700000.0,912100000.0,10400000.0
Change To Operating Activities,8100000.0,20800000.0,6400000.0,22900000.0,-11000000.0
Issuance Of Stock,10100000.0,10800000.0,11900000.0,15300000.0,20300000.0
Net Income,-50200000.0,-127100000.0,101100000.0,493600000.0,154700000.0
Change In Cash,347000000.0,695600000.0,-690700000.0,371800000.0,235400000.0
Effect Of Exchange Rate,300000.0,1800000.0,-700000.0,2100000.0,-1400000.0
Total Cash From Operating Activities,92000000.0,123200000.0,314500000.0,475600000.0,442500000.0
Depreciation,16100000.0,29100000.0,48700000.0,67100000.0,102000000.0
Other Cashflows From Investing Activities,-1000000.0,-1000000.0,-1200000.0,-11300000.0,10100000.0
Change To Inventory,400000.0,-25500000.0,-49100000.0,-114500000.0,-112200000.0
Change To Account Receivables,-31800000.0,-93200000.0,-60000000.0,-142300000.0,-75500000.0
Other Cashflows From Financing Activities,-37000000.0,-37000000.0,-1200000.0,-9400000.0,-9900000.0
Change To Netincome,123500000.0,262100000.0,158600000.0,-64300000.0,317800000.0
Capital Expenditures,-66000000.0,-67100000.0,-180000000.0,-199000000.0,-389200000.0
Net Borrowings,389000000.0,836600000.0,906200000.0,906200000.0,
Repurchase Of Stock,-100000000.0,-100000000.0,,,
