,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31
Investments,-604000.0,-1000000.0,4000000.0,24000000.0,200000000.0
Change To Liabilities,-7131000.0,-17000000.0,31000000.0,25000000.0,486000000.0
Total Cashflows From Investing Activities,-1396681000.0,-1268000000.0,369000000.0,-6105000000.0,-2923000000.0
Net Borrowings,1384125000.0,1091000000.0,-703000000.0,8295000000.0,-1041000000.0
Total Cash From Financing Activities,1351101000.0,1044000000.0,-712000000.0,10641000000.0,-550000000.0
Change To Operating Activities,-423000.0,10000000.0,10000000.0,9000000.0,-67000000.0
Issuance Of Stock,2900000.0,2718000000.0,2718000000.0,2718000000.0,3000000.0
Net Income,73380000.0,95000000.0,81000000.0,-1757000000.0,-1019000000.0
Change In Cash,84306000.0,99000000.0,-30000000.0,4063000000.0,-2259000000.0
Repurchase Of Stock,-11365000.0,-21000000.0,-8000000.0,-16000000.0,-45000000.0
Effect Of Exchange Rate,129000000.0,129000000.0,129000000.0,129000000.0,32000000.0
Total Cash From Operating Activities,129886000.0,323000000.0,313000000.0,-582000000.0,1172000000.0
Depreciation,105891000.0,157000000.0,222000000.0,583000000.0,1126000000.0
Other Cashflows From Investing Activities,-8000000.0,-8000000.0,18000000.0,18000000.0,-1431000000.0
Change To Account Receivables,-19110000.0,6000000.0,5000000.0,-70000000.0,-135000000.0
Other Cashflows From Financing Activities,-24559000.0,-26000000.0,-1000000.0,-356000000.0,533000000.0
Change To Netincome,-28540000.0,66000000.0,-35000000.0,498000000.0,382000000.0
Capital Expenditures,-83161000.0,-147000000.0,-171000000.0,-164000000.0,-520000000.0
Change To Inventory,105000.0,596000.0,,,
