,2018-03-31,2019-03-30,2020-03-28,2021-04-03
Investments,-600000000.0,-600000000.0,-600000000.0,-600000000.0
Change To Liabilities,-562248000.0,68082000.0,-73674000.0,20106000.0
Total Cashflows From Investing Activities,-223960000.0,-220632000.0,-302047000.0,-2895618000.0
Net Borrowings,3177696000.0,-870441000.0,1004138000.0,1776662000.0
Total Cash From Financing Activities,1627144000.0,-1591005000.0,309732000.0,1052878000.0
Change To Operating Activities,-852484000.0,398719000.0,-703368000.0,-248666000.0
Issuance Of Stock,176068000.0,199296000.0,155390000.0,54438000.0
Net Income,658553000.0,1259792000.0,679449000.0,407869000.0
Change In Cash,479172000.0,-132603000.0,854736000.0,-560118000.0
Effect Of Exchange Rate,48880000.0,14811000.0,-27476000.0,-30603000.0
Total Cash From Operating Activities,-972892000.0,1664223000.0,874527000.0,1313225000.0
Depreciation,238376000.0,255729000.0,267619000.0,257815000.0
Other Cashflows From Investing Activities,32696000.0,-61511000.0,31789000.0,-12267000.0
Dividends Paid,-725492000.0,-767061000.0,-748663000.0,-756784000.0
Change To Inventory,-334116000.0,-58700000.0,-140744000.0,314315000.0
Change To Account Receivables,133360000.0,-310898000.0,-5947000.0,70471000.0
Other Cashflows From Financing Activities,-2123000.0,-2123000.0,898874000.0,-21438000.0
Change To Netincome,-345640000.0,79870000.0,912929000.0,526901000.0
Capital Expenditures,-182004000.0,-215776000.0,-288189000.0,-198658000.0
Repurchase Of Stock,-1001128000.0,-150676000.0,-1000007000.0,
