,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30
Investments,3200000.0,3200000.0,3200000.0,2500000.0,2500000.0,2500000.0,2500000.0,-92700000.0,92700000.0
Change To Liabilities,-1905500000.0,677000000.0,2964800000.0,-1890800000.0,425100000.0,308200000.0,2417600000.0,-1743200000.0,-568100000.0
Total Cashflows From Investing Activities,-5600000.0,-79200000.0,-27000000.0,-10800000.0,78900000.0,-20000000.0,-757300000.0,-361800000.0,-31000000.0
Net Borrowings,587800000.0,16800000.0,-19300000.0,2200000.0,-454800000.0,1000000.0,429300000.0,2400000.0,800000.0
Total Cash From Financing Activities,385500000.0,-181800000.0,-220900000.0,-175700000.0,-785500000.0,-377200000.0,-52600000.0,-476300000.0,-305500000.0
Change To Operating Activities,21600000.0,-35600000.0,-14800000.0,7100000.0,144200000.0,-39500000.0,59400000.0,-35100000.0,42200000.0
Issuance Of Stock,900000.0,800000.0,1000000.0,3400000.0,3900000.0,1200000.0,600000.0,13500000.0,1500000.0
Net Income,-24200000.0,313300000.0,398100000.0,287800000.0,348200000.0,355600000.0,416200000.0,173800000.0,348400000.0
Change In Cash,588500000.0,-2700000.0,2322200000.0,-703200000.0,-509200000.0,43100000.0,885600000.0,-1391300000.0,-720400000.0
Repurchase Of Stock,-5200000.0,-13900000.0,-2900000.0,-700000.0,-101300000.0,-171200000.0,-254100000.0,-300300000.0,-107200000.0
Effect Of Exchange Rate,83600000.0,57500000.0,184100000.0,-55800000.0,32200000.0,-94000000.0,-11300000.0,-8700000.0,-188500000.0
Total Cash From Operating Activities,125000000.0,200800000.0,2386000000.0,-460900000.0,165200000.0,534300000.0,1706800000.0,-544500000.0,-195400000.0
Depreciation,57100000.0,54700000.0,53800000.0,53300000.0,53500000.0,51100000.0,54200000.0,55200000.0,55700000.0
Other Cashflows From Investing Activities,,,,,700000.0,700000.0,700000.0,700000.0,-87200000.0
Dividends Paid,-141200000.0,-139800000.0,-140000000.0,-140100000.0,-152300000.0,-150600000.0,-149300000.0,-147400000.0,-146200000.0
Change To Account Receivables,1647300000.0,-852300000.0,-1122400000.0,1040200000.0,-817000000.0,-188200000.0,-1305800000.0,894100000.0,-97500000.0
Other Cashflows From Financing Activities,-56800000.0,-45700000.0,-59700000.0,-40500000.0,-81000000.0,-57600000.0,-79100000.0,-44500000.0,-54400000.0
Change To Netincome,328600000.0,43700000.0,106500000.0,41500000.0,11200000.0,47100000.0,65200000.0,110700000.0,23900000.0
Capital Expenditures,-7200000.0,-16400000.0,-25400000.0,-12400000.0,-10500000.0,-19700000.0,-623200000.0,-23200000.0,-19300000.0
