,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30
Intangible Assets,297600000.0,306200000.0,298500000.0,280800000.0,277900000.0,278100000.0,298000000.0,333000000.0,331500000.0
Capital Surplus,801200000.0,741800000.0,747800000.0,769700000.0,735400000.0,708600000.0,622000000.0,584500000.0,567000000.0
Total Liab,19599900000.0,20447400000.0,23860600000.0,21712800000.0,21539700000.0,21549000000.0,24302800000.0,22191800000.0,21141600000.0
Total Stockholder Equity,2413000000.0,2638800000.0,3084400000.0,3211200000.0,3348800000.0,3279000000.0,3270200000.0,2999700000.0,2833200000.0
Minority Interest,628200000.0,693300000.0,702200000.0,690300000.0,765900000.0,752800000.0,848800000.0,954200000.0,930700000.0
Other Current Liab,3405000000.0,3567500000.0,3673500000.0,4000200000.0,3703800000.0,3861200000.0,4027100000.0,4265200000.0,3648000000.0
Total Assets,22641100000.0,23779500000.0,27647200000.0,25614300000.0,25654400000.0,25580800000.0,28421800000.0,26145700000.0,24905500000.0
Common Stock,44600000.0,44600000.0,44600000.0,44600000.0,44600000.0,44600000.0,44600000.0,44600000.0,44600000.0
Other Current Assets,1162700000.0,1111400000.0,1075000000.0,1062900000.0,906000000.0,896000000.0,919200000.0,990900000.0,891800000.0
Retained Earnings,7759300000.0,7932600000.0,8190600000.0,8327500000.0,8523700000.0,8730000000.0,8998800000.0,9027300000.0,9230700000.0
Other Liab,1379200000.0,1373200000.0,1339600000.0,1423800000.0,1506300000.0,1461100000.0,1356400000.0,1418100000.0,1441000000.0
Good Will,9255100000.0,9438400000.0,9609700000.0,9541500000.0,9723200000.0,9601500000.0,9738600000.0,9951900000.0,9701800000.0
Treasury Stock,-6192100000.0,-6080200000.0,-5898600000.0,-5930600000.0,-5954900000.0,-6204200000.0,-6395200000.0,-6656700000.0,-7009100000.0
Other Assets,244800000.0,250000000.0,255000000.0,239500000.0,224300000.0,217500000.0,204400000.0,210800000.0,213600000.0
Cash,3281000000.0,3278300000.0,5600500000.0,4897300000.0,4388100000.0,4431200000.0,5316800000.0,3925500000.0,3205100000.0
Total Current Liabilities,11330900000.0,12163800000.0,15525100000.0,13471900000.0,13701600000.0,13825200000.0,16226200000.0,14177200000.0,13213700000.0
Other Stockholder Equity,-1456600000.0,-1380600000.0,-1213800000.0,-1246200000.0,-1187500000.0,-1307900000.0,-1252300000.0,-1222600000.0,-1488700000.0
Property Plant Equipment,1868300000.0,1841100000.0,1808600000.0,1740700000.0,1691900000.0,1642900000.0,2195000000.0,2174900000.0,2092600000.0
Total Current Assets,10893100000.0,11862400000.0,15590100000.0,13732100000.0,13658000000.0,13763000000.0,15909500000.0,13397500000.0,12496400000.0
Long Term Investments,82200000.0,81400000.0,85300000.0,79700000.0,79100000.0,77800000.0,76300000.0,77600000.0,69600000.0
Net Tangible Assets,-7139700000.0,-7105800000.0,-6823800000.0,-6611100000.0,-6652300000.0,-6600600000.0,-6766400000.0,-7285200000.0,-7200100000.0
Short Term Investments,,,,,,,,92700000.0,119900000.0
Net Receivables,5290800000.0,6298300000.0,7813400000.0,6633200000.0,7246300000.0,7186200000.0,8472500000.0,7071600000.0,7043700000.0
Long Term Debt,5714100000.0,5761500000.0,5807300000.0,5754400000.0,5300700000.0,5271700000.0,5685700000.0,5646400000.0,5548500000.0
Inventory,1158600000.0,1174400000.0,1101200000.0,1138700000.0,1117600000.0,1249600000.0,1201000000.0,1316800000.0,1235900000.0
Accounts Payable,7919500000.0,8572700000.0,11513000000.0,9465800000.0,9988500000.0,9953800000.0,11897200000.0,9899600000.0,9553400000.0
