,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31
Intangible Assets,1767000000.0,1880000000.0,5772000000.0,5007000000.0,6041000000.0
Capital Surplus,7893000000.0,6849000000.0,35609000000.0,35843000000.0,34565000000.0
Total Liab,191947000000.0,195519000000.0,406520000000.0,438316000000.0,471970000000.0
Total Stockholder Equity,26595000000.0,27069000000.0,61282000000.0,62759000000.0,62598000000.0
Total Assets,221642000000.0,225697000000.0,473078000000.0,509228000000.0,541241000000.0
Common Stock,3910000000.0,3817000000.0,6711000000.0,6745000000.0,6639000000.0
Other Current Assets,1469000000.0,1733000000.0,10180000000.0,7993000000.0,6603000000.0
Retained Earnings,16259000000.0,18118000000.0,19806000000.0,19455000000.0,22998000000.0
Other Liab,658000000.0,5186000000.0,9749000000.0,9099000000.0,12091000000.0
Good Will,9618000000.0,9818000000.0,24154000000.0,24447000000.0,26098000000.0
Treasury Stock,-1467000000.0,-1715000000.0,-844000000.0,716000000.0,-1604000000.0
Other Assets,154909000000.0,153561000000.0,311721000000.0,305787000000.0,298984000000.0
Cash,2713000000.0,3844000000.0,19065000000.0,18868000000.0,20295000000.0
Total Current Liabilities,167641000000.0,166624000000.0,353701000000.0,387724000000.0,422690000000.0
Other Stockholder Equity,-1467000000.0,-1715000000.0,-844000000.0,716000000.0,-1604000000.0
Property Plant Equipment,2055000000.0,3493000000.0,7432000000.0,7013000000.0,6960000000.0
Total Current Assets,5315000000.0,8141000000.0,42243000000.0,39447000000.0,41166000000.0
Long Term Investments,47978000000.0,48804000000.0,81756000000.0,127527000000.0,161992000000.0
Net Tangible Assets,16266000000.0,16493000000.0,33986000000.0,35328000000.0,33092000000.0
Short Term Investments,,143000000.0,1417000000.0,1745000000.0,4028000000.0
Net Receivables,,1116000000.0,2418000000.0,1833000000.0,2244000000.0
Long Term Debt,23648000000.0,23709000000.0,41216000000.0,39555000000.0,35887000000.0
Inventory,57000000.0,63000000.0,123000000.0,52000000.0,51000000.0
Accounts Payable,161989000000.0,161199000000.0,334727000000.0,381077000000.0,416488000000.0
Minority Interest,47000000.0,56000000.0,174000000.0,105000000.0,
