,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30
Intangible Assets,483300000.0,481000000.0,504300000.0,508000000.0,504400000.0,725000000.0,787200000.0,1065000000.0,1050700000.0,1043600000.0
Capital Surplus,3423100000.0,3431000000.0,3433900000.0,3440800000.0,3441700000.0,3451100000.0,3463300000.0,3470400000.0,3462600000.0,3474400000.0
Total Liab,5204000000.0,4733000000.0,4676500000.0,4687500000.0,4732600000.0,5094900000.0,7428000000.0,7855400000.0,,7770700000.0
Total Stockholder Equity,5296900000.0,5491100000.0,5756400000.0,5890700000.0,5923900000.0,6125900000.0,6355900000.0,6535300000.0,6428900000.0,6770000000.0
Minority Interest,2500000.0,2500000.0,2500000.0,2600000.0,2800000.0,2300000.0,2300000.0,2300000.0,2200000.0,2100000.0
Other Current Liab,102000000.0,115100000.0,126100000.0,157000000.0,135900000.0,154800000.0,172900000.0,194500000.0,190700000.0,246800000.0
Total Assets,10503400000.0,10226600000.0,10435400000.0,10580800000.0,10659300000.0,11223100000.0,13786200000.0,14393000000.0,,14542800000.0
Common Stock,600000.0,600000.0,600000.0,600000.0,600000.0,600000.0,600000.0,600000.0,600000.0,600000.0
Other Current Assets,145700000.0,104200000.0,124700000.0,176900000.0,100700000.0,103500000.0,89900000.0,230100000.0,250800000.0,115800000.0
Retained Earnings,2018600000.0,2201700000.0,2460500000.0,2607700000.0,2637200000.0,2827200000.0,3043400000.0,3161900000.0,3094900000.0,3423100000.0
Other Liab,1075300000.0,1092500000.0,1122800000.0,1130800000.0,1258200000.0,1318000000.0,1351500000.0,1431500000.0,1633100000.0,1608700000.0
Good Will,2397100000.0,2397500000.0,2414500000.0,2414000000.0,2414000000.0,2599600000.0,2610600000.0,3494400000.0,3392000000.0,3400500000.0
Treasury Stock,-145400000.0,-142200000.0,-138600000.0,-158400000.0,-155600000.0,-153000000.0,-151400000.0,-97600000.0,-129200000.0,-128100000.0
Other Assets,126700000.0,132500000.0,214100000.0,295200000.0,288900000.0,298900000.0,359400000.0,1043300000.0,1191700000.0,771800000.0
Cash,424000000.0,70100000.0,116600000.0,207300000.0,313900000.0,53100000.0,2381400000.0,258400000.0,,772100000.0
Total Current Liabilities,1075600000.0,595300000.0,506200000.0,499300000.0,448800000.0,758000000.0,601200000.0,752600000.0,,761400000.0
Other Stockholder Equity,-145400000.0,-142200000.0,-138600000.0,-158400000.0,-155600000.0,-153000000.0,-151400000.0,-97600000.0,-129200000.0,-128100000.0
Property Plant Equipment,5663300000.0,5628500000.0,5649700000.0,5695300000.0,5776300000.0,5983300000.0,6028300000.0,6764700000.0,,6566600000.0
Total Current Assets,1833000000.0,1587100000.0,1652800000.0,1668300000.0,1675700000.0,1616300000.0,4000700000.0,2025600000.0,1987500000.0,2760300000.0
Net Tangible Assets,2416500000.0,2612600000.0,2837600000.0,2968700000.0,3005500000.0,2801300000.0,2958100000.0,1975900000.0,1986200000.0,2325900000.0
Net Receivables,562800000.0,699900000.0,697000000.0,575100000.0,571100000.0,730600000.0,811900000.0,784500000.0,764700000.0,1037200000.0
Long Term Debt,2623900000.0,2624500000.0,2625200000.0,2625800000.0,2626500000.0,2627200000.0,5099400000.0,5100800000.0,,5044300000.0
Inventory,700500000.0,712900000.0,714500000.0,709000000.0,690000000.0,729100000.0,717500000.0,752600000.0,,835200000.0
Accounts Payable,202000000.0,197200000.0,210700000.0,207800000.0,200000000.0,243600000.0,249300000.0,356200000.0,383800000.0,359700000.0
Short Long Term Debt,639900000.0,130000000.0,,,,240100000.0,20100000.0,100000.0,,
