,2020-07-11,2020-10-03,2021-01-02,2021-04-17,2021-04-24,2021-07-17,2021-10-09
Intangible Assets,692482000.0,686315000.0,681127000.0,,672455000.0,665193000.0,658545000.0
Capital Surplus,760535000.0,772313000.0,783709000.0,,799934000.0,818126000.0,835033000.0
Total Liab,8204146000.0,8210099000.0,8280124000.0,,8366921000.0,8537160000.0,8667636000.0
Total Stockholder Equity,3726519000.0,3762664000.0,3559512000.0,,3501567000.0,3301565000.0,3196535000.0
Other Current Liab,36777000.0,45185000.0,153454000.0,,26077000.0,20573000.0,16481000.0
Total Assets,11930665000.0,11972763000.0,11839636000.0,,11868488000.0,11838725000.0,11864171000.0
Common Stock,8000.0,8000.0,8000.0,,8000.0,8000.0,8000.0
Other Current Assets,153188000.0,158819000.0,146811000.0,,149003000.0,180589000.0,174406000.0
Retained Earnings,3971507000.0,4101776000.0,4196634000.0,,4300818000.0,4480085000.0,4586904000.0
Other Liab,484847000.0,514441000.0,488726000.0,,505344000.0,512958000.0,524041000.0
Good Will,990396000.0,991398000.0,993590000.0,,994530000.0,994140000.0,994562000.0
Treasury Stock,-1005531000.0,-1111433000.0,-1420839000.0,,-1599193000.0,-1996654000.0,-2225410000.0
Other Assets,48250000.0,50374000.0,52329000.0,,47831000.0,43402000.0,52182000.0
Cash,1141502000.0,1068205000.0,834992000.0,,880233000.0,809287000.0,604645000.0
Total Current Liabilities,4437559000.0,4648888000.0,4743915000.0,,4792423000.0,4899345000.0,4955229000.0
Other Stockholder Equity,-43939000.0,-38714000.0,-26759000.0,,-21466000.0,-23283000.0,-21826000.0
Property Plant Equipment,3804012000.0,3807326000.0,3842589000.0,,3842954000.0,3914119000.0,3997621000.0
Total Current Assets,6395525000.0,6437350000.0,6270001000.0,,6310718000.0,6221871000.0,6161261000.0
Net Tangible Assets,2043641000.0,2084951000.0,1884795000.0,,1834582000.0,1642232000.0,1543428000.0
Net Receivables,742346000.0,843054000.0,749999000.0,,804826000.0,803880000.0,931758000.0
Long Term Debt,1240340000.0,1031872000.0,1032984000.0,,1033369000.0,1033686000.0,1034002000.0
Inventory,4358489000.0,4367272000.0,4538199000.0,,4476656000.0,4428115000.0,4450452000.0
Accounts Payable,3310073000.0,3527324000.0,3640639000.0,,3737853000.0,3807293000.0,3750835000.0
