,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31
Change To Liabilities,-34000000.0,37000000.0,19000000.0,-77000000.0,15000000.0
Total Cashflows From Investing Activities,-10482000000.0,-1793000000.0,-2081000000.0,-1741000000.0,-1332000000.0
Net Borrowings,3954000000.0,386000000.0,1401000000.0,1033000000.0,1175000000.0
Total Cash From Financing Activities,8192000000.0,-733000000.0,-692000000.0,-1271000000.0,-1310000000.0
Change To Operating Activities,253000000.0,173000000.0,204000000.0,-19000000.0,-248000000.0
Net Income,366000000.0,622000000.0,860000000.0,1056000000.0,1096000000.0
Change In Cash,-257000000.0,-27000000.0,-75000000.0,43000000.0,85000000.0
Repurchase Of Stock,-23000000.0,-34000000.0,-44000000.0,-76000000.0,-70000000.0
Total Cash From Operating Activities,2032000000.0,2500000000.0,2698000000.0,3055000000.0,2727000000.0
Depreciation,1203000000.0,1457000000.0,1507000000.0,1550000000.0,1590000000.0
Other Cashflows From Investing Activities,-5000000.0,-12000000.0,-7000000.0,-10000000.0,8000000.0
Dividends Paid,-1539000000.0,-1895000000.0,-2025000000.0,-2190000000.0,-2373000000.0
Change To Account Receivables,71000000.0,-105000000.0,-96000000.0,166000000.0,-113000000.0
Other Cashflows From Financing Activities,-29000000.0,-31000000.0,-24000000.0,-38000000.0,-42000000.0
Change To Netincome,164000000.0,309000000.0,203000000.0,373000000.0,374000000.0
Capital Expenditures,-1217000000.0,-1739000000.0,-2057000000.0,-1624000000.0,-1229000000.0
Issuance Of Stock,4221000000.0,841000000.0,,,
Effect Of Exchange Rate,1000000.0,-1000000.0,,,
