,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30
Net Income,153700000.0,176600000.0,142200000.0,382100000.0,190200000.0,225100000.0,109400000.0,438700000.0,284200000.0,255800000.0
Change To Liabilities,-27900000.0,-44100000.0,-52100000.0,15500000.0,-2600000.0,-84000000.0,94200000.0,59300000.0,-6100000.0,0.0
Investments,-200000.0,-400000.0,-400000.0,-400000.0,-300000.0,-500000.0,100000.0,-100000.0,-300000.0,
Total Cashflows From Investing Activities,-34800000.0,-23000000.0,-254000000.0,-417900000.0,-184200000.0,-119600000.0,-2710000000.0,-94300000.0,-275600000.0,
Net Borrowings,-266400000.0,-70600000.0,-50600000.0,-29600000.0,1578300000.0,-573800000.0,784100000.0,-107000000.0,276700000.0,
Total Cash From Financing Activities,-400400000.0,-128700000.0,-123900000.0,-118100000.0,2782500000.0,-662800000.0,682500000.0,-200300000.0,199800000.0,
Change To Operating Activities,-107300000.0,-29100000.0,-416900000.0,1406500000.0,49800000.0,-356300000.0,-932700000.0,9555400000.0,-2892800000.0,
Issuance Of Stock,34300000.0,25400000.0,28300000.0,37200000.0,1464800000.0,22600000.0,22100000.0,45900000.0,23200000.0,
Change In Cash,369500000.0,472100000.0,99500000.0,-213400000.0,3014100000.0,-362700000.0,-1546000000.0,172400000.0,151000000.0,
Effect Of Exchange Rate,111100000.0,38400000.0,112500000.0,36300000.0,13800000.0,-33200000.0,-81400000.0,32400000.0,-106900000.0,
Total Cash From Operating Activities,693600000.0,585400000.0,364900000.0,286300000.0,402000000.0,452900000.0,562900000.0,434600000.0,333700000.0,
Depreciation,122600000.0,133900000.0,81800000.0,143300000.0,145200000.0,131300000.0,128900000.0,159800000.0,140300000.0,
Dividends Paid,-86100000.0,-86600000.0,-87300000.0,-97400000.0,-105000000.0,-89800000.0,-99800000.0,-106700000.0,-107300000.0,
Change To Account Receivables,486700000.0,271200000.0,501400000.0,-1691300000.0,12600000.0,549000000.0,1262600000.0,-9827300000.0,2934600000.0,
Other Cashflows From Financing Activities,-82200000.0,3100000.0,-14300000.0,-28300000.0,-155600000.0,-21800000.0,-23900000.0,-32500000.0,7200000.0,
Change To Netincome,34100000.0,49400000.0,118500000.0,37600000.0,30300000.0,63700000.0,-82500000.0,37100000.0,-93000000.0,
Capital Expenditures,-29300000.0,-20700000.0,-19800000.0,-27200000.0,-32000000.0,-44000000.0,-25400000.0,-37700000.0,-53400000.0,
