,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31
Investments,3277000000.0,1943000000.0,555000000.0,-1141000000.0,896000000.0
Change To Liabilities,-737000000.0,-824000000.0,-161000000.0,-3330000000.0,160000000.0
Total Cashflows From Investing Activities,-1779000000.0,-1040000000.0,-2011000000.0,-2353000000.0,-919000000.0
Net Borrowings,-1612000000.0,-2048000000.0,-839000000.0,830000000.0,-2147000000.0
Total Cash From Financing Activities,-5033000000.0,-5020000000.0,-3718000000.0,-873000000.0,-2824000000.0
Change To Operating Activities,319000000.0,377000000.0,-25000000.0,328000000.0,320000000.0
Issuance Of Stock,297000000.0,261000000.0,219000000.0,146000000.0,137000000.0
Net Income,-1505000000.0,2138000000.0,-10137000000.0,-10518000000.0,1881000000.0
Change In Cash,-1130000000.0,-366000000.0,-296000000.0,-293000000.0,913000000.0
Effect Of Exchange Rate,19000000.0,-19000000.0,2000000.0,-11000000.0,5000000.0
Total Cash From Operating Activities,5663000000.0,5713000000.0,5431000000.0,2944000000.0,4651000000.0
Depreciation,3837000000.0,3556000000.0,2594000000.0,1996000000.0,1704000000.0
Other Cashflows From Investing Activities,-217000000.0,-29000000.0,-155000000.0,-93000000.0,-58000000.0
Dividends Paid,-2778000000.0,-2770000000.0,-2769000000.0,-1734000000.0,-699000000.0
Change To Inventory,108000000.0,-10000000.0,-314000000.0,86000000.0,75000000.0
Change To Account Receivables,-124000000.0,430000000.0,142000000.0,2345000000.0,-36000000.0
Other Cashflows From Financing Activities,29000000.0,-63000000.0,-51000000.0,-89000000.0,-115000000.0
Change To Netincome,3650000000.0,149000000.0,13062000000.0,12064000000.0,590000000.0
Capital Expenditures,-3716000000.0,-3141000000.0,-2505000000.0,-1419000000.0,-1615000000.0
Repurchase Of Stock,-969000000.0,-400000000.0,-278000000.0,-26000000.0,
