,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31
Investments,-158000000.0,-498000000.0,456000000.0,520000000.0,401000000.0,-131000000.0,106000000.0,420000000.0
Change To Liabilities,-1564000000.0,-694000000.0,-432000000.0,-438000000.0,-262000000.0,40000000.0,820000000.0,89000000.0
Total Cashflows From Investing Activities,-547000000.0,-740000000.0,246000000.0,211000000.0,15000000.0,-619000000.0,-526000000.0,-115000000.0
Net Borrowings,569000000.0,134000000.0,-1292000000.0,-65000000.0,-871000000.0,-200000000.0,-1011000000.0,16000000.0
Total Cash From Financing Activities,-167000000.0,21000000.0,-1504000000.0,-212000000.0,-1070000000.0,-322000000.0,-1220000000.0,-170000000.0
Change To Operating Activities,138000000.0,71000000.0,118000000.0,-19000000.0,551000000.0,-46000000.0,-166000000.0,-232000000.0
Issuance Of Stock,61000000.0,61000000.0,62000000.0,62000000.0,75000000.0,75000000.0,71000000.0,71000000.0
Net Income,-3434000000.0,-82000000.0,374000000.0,299000000.0,431000000.0,550000000.0,601000000.0,510000000.0
Change In Cash,87000000.0,-243000000.0,-375000000.0,424000000.0,171000000.0,130000000.0,188000000.0,-157000000.0
Repurchase Of Stock,,,,,-81000000.0,-81000000.0,-81000000.0,-81000000.0
Effect Of Exchange Rate,-2000000.0,-3000000.0,5000000.0,-4000000.0,6000000.0,1000000.0,2000000.0,-3000000.0
Total Cash From Operating Activities,803000000.0,479000000.0,878000000.0,429000000.0,1220000000.0,1070000000.0,1932000000.0,131000000.0
Depreciation,604000000.0,587000000.0,583000000.0,532000000.0,326000000.0,730000000.0,116000000.0,533000000.0
Other Cashflows From Investing Activities,-21000000.0,-13000000.0,5000000.0,-26000000.0,-13000000.0,10000000.0,-29000000.0,-23000000.0
Dividends Paid,-694000000.0,-174000000.0,-174000000.0,-174000000.0,-175000000.0,-175000000.0,-175000000.0,-175000000.0
Change To Inventory,-32000000.0,50000000.0,110000000.0,49000000.0,37000000.0,-32000000.0,21000000.0,-464000000.0
Change To Account Receivables,1677000000.0,249000000.0,186000000.0,-16000000.0,-98000000.0,17000000.0,61000000.0,-404000000.0
Other Cashflows From Financing Activities,-42000000.0,-38000000.0,-38000000.0,-35000000.0,-24000000.0,-22000000.0,-34000000.0,-1000000.0
Change To Netincome,3550000000.0,375000000.0,-121000000.0,55000000.0,245000000.0,-108000000.0,398000000.0,91000000.0
Capital Expenditures,-312000000.0,-228000000.0,-309000000.0,-263000000.0,-346000000.0,-390000000.0,-616000000.0,-472000000.0
