,2019-09-30,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31
Intangible Assets,,,866039000.0,858605000.0,857715000.0,986313000.0,1238333000.0,1455489000.0,1474195000.0,3083843000.0
Capital Surplus,,,,30427485000.0,46482512000.0,46572785000.0,46670937000.0,59891688000.0,59980534000.0,60153073000.0
Total Liab,,,6650810000.0,8068582000.0,10276970000.0,13336113000.0,13981488000.0,17682428000.0,23504724000.0,26464349000.0
Total Stockholder Equity,,-6830430000.0,-8924443000.0,19728010000.0,34429809000.0,33834616000.0,32314077000.0,43913556000.0,42146578000.0,40520038000.0
Other Current Liab,,,1567452000.0,1387595000.0,1690987000.0,2192694000.0,218921000.0,242844000.0,3085808000.0,523597000.0
Total Assets,,,9324869000.0,27796592000.0,44706779000.0,47170729000.0,46295565000.0,61595984000.0,65651302000.0,66984387000.0
Common Stock,,,21000.0,94000.0,101000.0,104000.0,105000.0,112000.0,112000.0,112000.0
Other Current Assets,,,1847264000.0,3427625000.0,4010608000.0,3536964000.0,3084065000.0,3302570000.0,2696099000.0,2891958000.0
Retained Earnings,,,-8903117000.0,-10535002000.0,-11322423000.0,-12108984000.0,-13303553000.0,-14898354000.0,-16185519000.0,-17886286000.0
Other Liab,,,496768000.0,159571000.0,442206000.0,519678000.0,287213000.0,383089000.0,919138000.0,564684000.0
Treasury Stock,,,-21347000.0,-164567000.0,-730381000.0,-629289000.0,-1053412000.0,-1079890000.0,-1648549000.0,-1746861000.0
Other Assets,,,168755000.0,165059000.0,626100000.0,770858000.0,3654704000.0,4026081000.0,3593978000.0,2363067000.0
Cash,,,1061209000.0,12221210000.0,29209388000.0,31061085000.0,15444912000.0,15393548000.0,11024906000.0,9320455000.0
Total Current Liabilities,,,4136315000.0,5932456000.0,7837263000.0,9065875000.0,9506143000.0,12985159000.0,18012664000.0,20065604000.0
Short Long Term Debt,,,60000000.0,52500000.0,45000000.0,,,,,477425000.0
Other Stockholder Equity,,,-21347000.0,-164567000.0,-730381000.0,-629289000.0,-1053412000.0,-1079890000.0,-1648549000.0,-1746861000.0
Property Plant Equipment,,,3620491000.0,3510197000.0,3542686000.0,3836612000.0,4561820000.0,5802358000.0,6985951000.0,7940469000.0
Total Current Assets,,,4668584000.0,23261731000.0,39679278000.0,40647614000.0,36795879000.0,50267226000.0,48830736000.0,46022847000.0
Long Term Investments,,,1000000.0,1000000.0,1000000.0,929332000.0,44829000.0,44830000.0,4766442000.0,7574161000.0
Net Tangible Assets,,-7203619000.0,-9790482000.0,18869405000.0,33572094000.0,32848303000.0,31075744000.0,42458067000.0,40672383000.0,37436195000.0
Short Term Investments,,,233975000.0,5788320000.0,3830614000.0,2487191000.0,14062479000.0,26594822000.0,28775709000.0,25970168000.0
Net Receivables,,,752074000.0,963657000.0,1285643000.0,1629194000.0,2083351000.0,2669307000.0,3672101000.0,4169753000.0
Long Term Debt,,,1689980000.0,1667490000.0,1645000000.0,3260000000.0,3605599000.0,3391652000.0,3383168000.0,4471195000.0
Inventory,,,774062000.0,860919000.0,1343025000.0,1933180000.0,2121072000.0,2306979000.0,2661921000.0,3670513000.0
Accounts Payable,,,1583631000.0,3491965000.0,5111745000.0,5897486000.0,6457246000.0,8840669000.0,12362186000.0,13850126000.0
