,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31
Intangible Assets,79088000.0,125482000.0,125480000.0,100939000.0,75635000.0
Capital Surplus,1638413000.0,1671645000.0,1720129000.0,1765323000.0,1811545000.0
Total Liab,1155899000.0,1184252000.0,1306856000.0,1445328000.0,1246981000.0
Total Stockholder Equity,1953646000.0,1522354000.0,1480158000.0,2207018000.0,2562444000.0
Other Current Liab,175366000.0,156670000.0,167178000.0,232023000.0,259551000.0
Total Assets,3109545000.0,2706606000.0,2787014000.0,3652346000.0,3809425000.0
Common Stock,24444000.0,21940000.0,20801000.0,20765000.0,20281000.0
Other Current Assets,86926000.0,140028000.0,155824000.0,221627000.0,374022000.0
Retained Earnings,272013000.0,-158191000.0,-241918000.0,387414000.0,736566000.0
Other Liab,335576000.0,327984000.0,327291000.0,325616000.0,296439000.0
Good Will,252011000.0,381850000.0,416431000.0,453859000.0,426024000.0
Treasury Stock,18776000.0,-13040000.0,-18854000.0,33516000.0,-5948000.0
Other Assets,113792000.0,99240000.0,103974000.0,114765000.0,141634000.0
Cash,429843000.0,926752000.0,773924000.0,914121000.0,1122199000.0
Total Current Liabilities,454336000.0,476287000.0,539029000.0,700871000.0,805120000.0
Deferred Long Term Asset Charges,84026000.0,70848000.0,75185000.0,87913000.0,102428000.0
Short Long Term Debt,,,,33343000.0,19182000.0
Other Stockholder Equity,18776000.0,-13040000.0,-18854000.0,33516000.0,-5948000.0
Property Plant Equipment,268447000.0,279821000.0,377755000.0,449369000.0,456047000.0
Total Current Assets,2270281000.0,1732482000.0,1658884000.0,2415434000.0,2576227000.0
Long Term Investments,125926000.0,87731000.0,104490000.0,117980000.0,133858000.0
Net Tangible Assets,1622547000.0,1015022000.0,938247000.0,1652220000.0,2060785000.0
Short Term Investments,1347979000.0,190096000.0,137303000.0,522280000.0,244231000.0
Net Receivables,272783000.0,291267000.0,362368000.0,497506000.0,550749000.0
Long Term Debt,365987000.0,379981000.0,394687000.0,376768000.0,89244000.0
Inventory,107525000.0,153541000.0,196691000.0,222189000.0,243330000.0
Accounts Payable,86393000.0,100688000.0,126617000.0,133663000.0,153133000.0
