,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31
Investments,664000000.0,-2251000000.0,281000000.0,-1747000000.0,-1288000000.0
Change To Liabilities,0.0,0.0,0.0,0.0,0.0
Total Cashflows From Investing Activities,-1442000000.0,-1962000000.0,-2148000000.0,-2066000000.0,-2466000000.0
Net Borrowings,1391000000.0,-959000000.0,-530000000.0,-1087000000.0,588000000.0
Total Cash From Financing Activities,-979000000.0,-1467000000.0,-1191000000.0,-1778000000.0,-1581000000.0
Change To Operating Activities,-464000000.0,257000000.0,309000000.0,974000000.0,1676000000.0
Issuance Of Stock,,25000000.0,25000000.0,25000000.0,25000000.0
Net Income,-3131000000.0,1807000000.0,2085000000.0,1737000000.0,2365000000.0
Change In Cash,-148000000.0,-59000000.0,141000000.0,-23000000.0,98000000.0
Repurchase Of Stock,-1038000000.0,-16000000.0,-206000000.0,-171000000.0,-1702000000.0
Effect Of Exchange Rate,70000000.0,-10000000.0,-9000000.0,8000000.0,-6000000.0
Total Cash From Operating Activities,2186000000.0,2843000000.0,3489000000.0,3871000000.0,4093000000.0
Depreciation,399000000.0,467000000.0,451000000.0,562000000.0,680000000.0
Other Cashflows From Investing Activities,-293000000.0,-204000000.0,81000000.0,111000000.0,-176000000.0
Dividends Paid,-341000000.0,-379000000.0,-454000000.0,-478000000.0,-506000000.0
Other Cashflows From Financing Activities,-991000000.0,-447000000.0,-1000000.0,-42000000.0,14000000.0
Change To Netincome,2918000000.0,-1027000000.0,-1864000000.0,-1567000000.0,-2393000000.0
Capital Expenditures,-250000000.0,-122000000.0,-105000000.0,-114000000.0,-133000000.0
