,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31
Investments,-477000000.0,-1088000000.0,-984000000.0,-355000000.0,201000000.0,-854000000.0,-280000000.0
Change To Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total Cashflows From Investing Activities,-562000000.0,-1222000000.0,-1059000000.0,-450000000.0,-129000000.0,-1169000000.0,-718000000.0
Total Cash From Financing Activities,-300000000.0,-252000000.0,-199000000.0,-266000000.0,-667000000.0,-30000000.0,-618000000.0
Change To Operating Activities,317000000.0,488000000.0,631000000.0,364000000.0,123000000.0,918000000.0,271000000.0
Issuance Of Stock,4000000.0,1000000.0,6000000.0,5000000.0,5000000.0,18000000.0,2000000.0
Net Income,468000000.0,459000000.0,537000000.0,249000000.0,905000000.0,482000000.0,729000000.0
Change In Cash,71000000.0,-102000000.0,-31000000.0,41000000.0,28000000.0,89000000.0,-60000000.0
Repurchase Of Stock,-123000000.0,-123000000.0,-123000000.0,-123000000.0,-568000000.0,-511000000.0,-500000000.0
Effect Of Exchange Rate,-36000000.0,42000000.0,11000000.0,-3000000.0,4000000.0,-6000000.0,-1000000.0
Total Cash From Operating Activities,969000000.0,1388000000.0,1216000000.0,759000000.0,838000000.0,1292000000.0,1204000000.0
Depreciation,135000000.0,142000000.0,151000000.0,174000000.0,173000000.0,168000000.0,165000000.0
Other Cashflows From Investing Activities,11000000.0,-48000000.0,-8000000.0,21000000.0,-28000000.0,-41000000.0,-128000000.0
Dividends Paid,-121000000.0,-123000000.0,-121000000.0,-121000000.0,-131000000.0,-129000000.0,-125000000.0
Other Cashflows From Financing Activities,-2000000.0,-37000000.0,-8000000.0,-22000000.0,27000000.0,4000000.0,5000000.0
Change To Netincome,-502000000.0,-384000000.0,-544000000.0,-514000000.0,-686000000.0,-605000000.0,-588000000.0
Capital Expenditures,-28000000.0,-27000000.0,-36000000.0,-23000000.0,-24000000.0,-45000000.0,-41000000.0
Net Borrowings,-181000000.0,-93000000.0,-76000000.0,588000000.0,588000000.0,588000000.0,
