,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30
Investments,14197000.0,110580000.0,-14407000.0,-28792000.0,-76890000.0,-46761000.0,67712000.0,-883063000.0,-128615000.0,39896000.0
Change To Liabilities,320900000.0,402200000.0,234300000.0,230300000.0,239300000.0,1126000000.0,-443400000.0,-1067400000.0,-338100000.0,1405500000.0
Total Cashflows From Investing Activities,-88573000.0,90854000.0,-50109000.0,-48327000.0,-100277000.0,-81350000.0,-554484000.0,-911962000.0,-141410000.0,-84906000.0
Net Borrowings,-182000.0,-183000.0,-425158000.0,-1401000.0,-122000.0,-122000.0,-1375000.0,1186116000.0,-150000.0,-113000.0
Total Cash From Financing Activities,-2979000.0,439000.0,-421884000.0,-47347000.0,2865000.0,-15582000.0,4635000.0,1190293000.0,-121326000.0,-8772000.0
Change To Operating Activities,-10600000.0,17700000.0,-1200000.0,6300000.0,8300000.0,12600000.0,-34100000.0,-33500000.0,24600000.0,-335000000.0
Issuance Of Stock,4134000.0,6979000.0,5017000.0,4052000.0,4055000.0,6353000.0,6172000.0,4177000.0,4267000.0,125443000.0
Net Income,966429000.0,1314824000.0,839102000.0,977414000.0,914114000.0,3928033000.0,-1573659000.0,-3369613000.0,-927184000.0,-164232000.0
Change In Cash,3689000.0,232969000.0,-177986000.0,10589000.0,59457000.0,127359000.0,-393387000.0,331523000.0,-205749000.0,-78663000.0
Repurchase Of Stock,-6931000.0,-5898000.0,-100000.0,-49998000.0,-507000.0,-21813000.0,-162000.0,-125443000.0,-125443000.0,-8444000.0
Effect Of Exchange Rate,3119000.0,6012000.0,9273000.0,-7347000.0,2245000.0,-6072000.0,-1462000.0,6877000.0,6789000.0,7501000.0
Total Cash From Operating Activities,92122000.0,135664000.0,284734000.0,113610000.0,154624000.0,230363000.0,157924000.0,46315000.0,50198000.0,7514000.0
Depreciation,43800000.0,42600000.0,45600000.0,42500000.0,43500000.0,43400000.0,43700000.0,42000000.0,42600000.0,42573000.0
Other Cashflows From Investing Activities,,,,,,,-65750000.0,-65750000.0,-65750000.0,-65750000.0
Change To Inventory,-66100000.0,-3700000.0,31400000.0,5800000.0,8500000.0,13900000.0,17900000.0,-35500000.0,-66800000.0,102300000.0
Change To Account Receivables,22500000.0,-34300000.0,-5400000.0,1300000.0,11600000.0,-23700000.0,-9600000.0,-46800000.0,1000000.0,45800000.0
Other Cashflows From Financing Activities,-459000.0,-459000.0,-1643000.0,-561000.0,-561000.0,,-125658000.0,-125658000.0,-125658000.0,-125658000.0
Change To Netincome,-1191707000.0,-1578960000.0,-894968000.0,-1177304000.0,-1029690000.0,-4861370000.0,2163683000.0,4549328000.0,1345182000.0,-1112727000.0
Capital Expenditures,-18116000.0,-19978000.0,-39235000.0,-19547000.0,-23388000.0,-34628000.0,-43240000.0,-28899000.0,-14263000.0,43162000.0
