,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31
Investments,-4452000.0,1084000.0,-11764000.0,-10032000.0,5007000.0,27111000.0,-12451000.0,-3598000.0
Change To Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total Cashflows From Investing Activities,-49061000.0,-136195000.0,141890000.0,-155952000.0,245157000.0,-404958000.0,-308300000.0,-90200000.0
Net Borrowings,-458064000.0,-68576000.0,-1284000.0,-28488000.0,-6246000.0,236066000.0,325602000.0,-100362000.0
Total Cash From Financing Activities,-690879000.0,-430256000.0,-268299000.0,-257993000.0,-226268000.0,10590000.0,124810000.0,-339857000.0
Change To Operating Activities,-35213000.0,35684000.0,-28494000.0,49207000.0,-50434000.0,40121000.0,-28897000.0,18062000.0
Issuance Of Stock,1488000.0,1865000.0,1865000.0,11000.0,2361000.0,4639000.0,24863000.0,459000.0
Net Income,170828000.0,147703000.0,341128000.0,142223000.0,447953000.0,78914000.0,335209000.0,262044000.0
Change In Cash,-452727000.0,-233294000.0,131132000.0,-83800000.0,257373000.0,-51255000.0,107938000.0,-86377000.0
Repurchase Of Stock,-404000.0,-137474000.0,-46583000.0,-13228000.0,-181000.0,-181000.0,-54000.0,-16353000.0
Total Cash From Operating Activities,287213000.0,333157000.0,257541000.0,330145000.0,238484000.0,343113000.0,291428000.0,343680000.0
Depreciation,176249000.0,175348000.0,177823000.0,183297000.0,184472000.0,193791000.0,197036000.0,201786000.0
Other Cashflows From Investing Activities,-12009000.0,7452000.0,5569000.0,-8655000.0,-18639000.0,-8345000.0,5752000.0,3124000.0
Dividends Paid,-223655000.0,-223674000.0,-222212000.0,-222734000.0,-221838000.0,-221848000.0,-221924000.0,-223063000.0
Other Cashflows From Financing Activities,-10244000.0,-532000.0,-85000.0,6446000.0,-545000.0,-8086000.0,-3677000.0,-538000.0
Change To Netincome,-26911000.0,-27963000.0,-235312000.0,-47061000.0,-346023000.0,27765000.0,-214546000.0,-140903000.0
Capital Expenditures,-3798000.0,-10259000.0,-3785000.0,-2234000.0,-350000.0,-2105000.0,-5858000.0,-2472000.0
