,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30
Investments,-3000000.0,-10000000.0,-10000000.0,-10000000.0,-45000000.0,
Change To Liabilities,1185000000.0,442000000.0,-130000000.0,737000000.0,342000000.0,1261000000.0
Total Cashflows From Investing Activities,-659000000.0,-829000000.0,-549000000.0,-665000000.0,-791000000.0,-1006000000.0
Net Borrowings,-1588000000.0,-3593000000.0,-1104000000.0,-1144000000.0,1938000000.0,856000000.0
Total Cash From Financing Activities,-3399000000.0,-6730000000.0,-6441000000.0,-5275000000.0,-3085000000.0,-3428000000.0
Change To Operating Activities,-652000000.0,-30000000.0,16000000.0,-78000000.0,-277000000.0,-178000000.0
Issuance Of Stock,217000000.0,893000000.0,208000000.0,369000000.0,174000000.0,648000000.0
Net Income,2800000000.0,4277000000.0,3854000000.0,3269000000.0,2906000000.0,4112000000.0
Change In Cash,788000000.0,-2789000000.0,-1451000000.0,-1934000000.0,281000000.0,82000000.0
Repurchase Of Stock,-2000000000.0,-2000000000.0,-3008000000.0,-3001000000.0,-3000000000.0,-2750000000.0
Effect Of Exchange Rate,40000000.0,31000000.0,115000000.0,-81000000.0,36000000.0,-127000000.0
Total Cash From Operating Activities,4806000000.0,4739000000.0,5424000000.0,4087000000.0,4121000000.0,4643000000.0
Depreciation,814000000.0,671000000.0,671000000.0,683000000.0,710000000.0,711000000.0
Dividends Paid,-2028000000.0,-2030000000.0,-2025000000.0,-2011000000.0,-2197000000.0,-2182000000.0
Change To Inventory,-104000000.0,-137000000.0,-80000000.0,-182000000.0,90000000.0,-409000000.0
Change To Account Receivables,499000000.0,-825000000.0,363000000.0,-142000000.0,262000000.0,-1012000000.0
Change To Netincome,264000000.0,341000000.0,730000000.0,-200000000.0,88000000.0,158000000.0
Capital Expenditures,-658000000.0,-850000000.0,-567000000.0,-656000000.0,-714000000.0,-1091000000.0
Other Cashflows From Financing Activities,-512000000.0,-512000000.0,-512000000.0,512000000.0,,
