,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31
Intangible Assets,98664000000.0,103905000000.0,104557000000.0,105510000000.0,159296000000.0
Capital Surplus,11101000000.0,13437000000.0,13419000000.0,13404000000.0,13861000000.0
Total Liab,212456000000.0,210119000000.0,228892000000.0,247209000000.0,283396000000.0
Total Stockholder Equity,43096000000.0,53145000000.0,61395000000.0,67842000000.0,81790000000.0
Minority Interest,1591000000.0,1565000000.0,1440000000.0,1430000000.0,1410000000.0
Deferred Long Term Liab,,1812000000.0,1911000000.0,2070000000.0,2259000000.0
Other Current Liab,9835000000.0,9722000000.0,10795000000.0,10651000000.0,12346000000.0
Total Assets,257143000000.0,264829000000.0,291727000000.0,316481000000.0,366596000000.0
Common Stock,424000000.0,429000000.0,429000000.0,429000000.0,429000000.0
Other Current Assets,693000000.0,3130000000.0,3799000000.0,3667000000.0,3526000000.0
Retained Earnings,35635000000.0,43542000000.0,53147000000.0,60464000000.0,71993000000.0
Other Liab,65364000000.0,65439000000.0,64142000000.0,65685000000.0,68899000000.0
Good Will,29172000000.0,24614000000.0,24389000000.0,24773000000.0,28603000000.0
Treasury Stock,-4064000000.0,-4263000000.0,-5600000000.0,-6455000000.0,-4493000000.0
Other Assets,9287000000.0,11295000000.0,9131000000.0,12405000000.0,12609000000.0
Cash,2079000000.0,2745000000.0,2594000000.0,22171000000.0,2921000000.0
Total Current Liabilities,33037000000.0,37930000000.0,44868000000.0,39660000000.0,47160000000.0
Short Long Term Debt,3303000000.0,7040000000.0,10441000000.0,5610000000.0,7346000000.0
Other Stockholder Equity,3075000000.0,2723000000.0,1220000000.0,264000000.0,-389000000.0
Property Plant Equipment,88568000000.0,89286000000.0,114609000000.0,117364000000.0,127579000000.0
Total Current Assets,29913000000.0,34636000000.0,37473000000.0,54594000000.0,36728000000.0
Long Term Investments,1539000000.0,1093000000.0,1568000000.0,1835000000.0,1781000000.0
Net Tangible Assets,-84740000000.0,-75374000000.0,-67551000000.0,-62441000000.0,-106109000000.0
Net Receivables,23493000000.0,25859000000.0,26277000000.0,24650000000.0,24585000000.0
Long Term Debt,114055000000.0,105845000000.0,100709000000.0,122948000000.0,143209000000.0
Inventory,1034000000.0,1336000000.0,1422000000.0,1796000000.0,3055000000.0
Accounts Payable,7063000000.0,7232000000.0,7725000000.0,6667000000.0,8040000000.0
