,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31
Change To Liabilities,28000000.0,3000000.0,230000000.0,-252000000.0,44000000.0,65000000.0,171000000.0,-235000000.0
Total Cashflows From Investing Activities,-631000000.0,-666000000.0,-1348000000.0,-889000000.0,-871000000.0,-886000000.0,-882000000.0,-780000000.0
Net Borrowings,303000000.0,152000000.0,781000000.0,849000000.0,515000000.0,122000000.0,558000000.0,555000000.0
Total Cash From Financing Activities,187000000.0,36000000.0,1083000000.0,795000000.0,495000000.0,8000000.0,423000000.0,391000000.0
Change To Operating Activities,-57000000.0,-146000000.0,-248000000.0,-460000000.0,-29000000.0,-2000000.0,-181000000.0,-20000000.0
Issuance Of Stock,14000000.0,10000000.0,439000000.0,125000000.0,133000000.0,39000000.0,11000000.0,5000000.0
Net Income,243000000.0,367000000.0,115000000.0,233000000.0,207000000.0,425000000.0,125000000.0,252000000.0
Change In Cash,-40000000.0,5000000.0,133000000.0,-129000000.0,95000000.0,-122000000.0,10000000.0,-1000000.0
Repurchase Of Stock,-17000000.0,-17000000.0,-17000000.0,-17000000.0,-16000000.0,-16000000.0,-16000000.0,-16000000.0
Total Cash From Operating Activities,404000000.0,635000000.0,398000000.0,-35000000.0,471000000.0,756000000.0,469000000.0,388000000.0
Depreciation,291000000.0,293000000.0,190000000.0,295000000.0,321000000.0,324000000.0,212000000.0,346000000.0
Other Cashflows From Investing Activities,-18000000.0,-5000000.0,6000000.0,-1000000.0,8000000.0,-21000000.0,9000000.0,10000000.0
Dividends Paid,-122000000.0,-123000000.0,-127000000.0,-140000000.0,-142000000.0,-141000000.0,-142000000.0,-152000000.0
Change To Inventory,-42000000.0,-42000000.0,36000000.0,54000000.0,-59000000.0,-68000000.0,2000000.0,72000000.0
Change To Account Receivables,-156000000.0,48000000.0,66000000.0,-5000000.0,-87000000.0,-120000000.0,138000000.0,-117000000.0
Other Cashflows From Financing Activities,-8000000.0,-3000000.0,-10000000.0,-22000000.0,-11000000.0,-12000000.0,-4000000.0,-1000000.0
Change To Netincome,30000000.0,61000000.0,30000000.0,35000000.0,24000000.0,82000000.0,18000000.0,39000000.0
Capital Expenditures,-613000000.0,-661000000.0,-1354000000.0,-888000000.0,-879000000.0,-865000000.0,-891000000.0,-790000000.0
