,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31
Investments,-146100000.0,-146100000.0,-146100000.0,-3100000.0,-500000.0
Change To Liabilities,41000000.0,-17600000.0,-32400000.0,39700000.0,12200000.0
Total Cashflows From Investing Activities,-609100000.0,-608200000.0,-546600000.0,-426100000.0,-794400000.0
Net Borrowings,-14100000.0,-151300000.0,-27600000.0,-1500000.0,-67500000.0
Total Cash From Financing Activities,-269400000.0,-427300000.0,-342800000.0,-311600000.0,-655600000.0
Change To Operating Activities,3200000.0,3400000.0,-7000000.0,-2800000.0,35200000.0
Net Income,668600000.0,738000000.0,696400000.0,461000000.0,841100000.0
Change In Cash,-22400000.0,144600000.0,318000000.0,295100000.0,-355900000.0
Repurchase Of Stock,-10800000.0,-7900000.0,-8200000.0,-10500000.0,-205900000.0
Total Cash From Operating Activities,856100000.0,1180100000.0,1207400000.0,1032800000.0,1094100000.0
Depreciation,373400000.0,386700000.0,383600000.0,396700000.0,409200000.0
Other Cashflows From Investing Activities,-8900000.0,-2000000.0,-5100000.0,-6400000.0,-1800000.0
Dividends Paid,-237600000.0,-268100000.0,-298700000.0,-299600000.0,-379800000.0
Change To Inventory,-21000000.0,-35600000.0,1400000.0,6300000.0,-105500000.0
Change To Account Receivables,-115100000.0,-56100000.0,56400000.0,13200000.0,-227200000.0
Change To Netincome,-57300000.0,90000000.0,91100000.0,90500000.0,123200000.0
Capital Expenditures,-343000000.0,-551400000.0,-399500000.0,-421200000.0,-605100000.0
Other Cashflows From Financing Activities,-6900000.0,-8300000.0,-8300000.0,,-2400000.0
