,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31
Investments,-794000000.0,-1855000000.0,-766000000.0,-2481000000.0,-1942000000.0
Change To Liabilities,72000000.0,-585000000.0,-430000000.0,57000000.0,1032000000.0
Total Cashflows From Investing Activities,-1254000000.0,-4585000000.0,-1532000000.0,-6955000000.0,-3299000000.0
Net Borrowings,47000000.0,1994000000.0,6918000000.0,1040000000.0,1833000000.0
Total Cash From Financing Activities,-82000000.0,4612000000.0,6832000000.0,260000000.0,1362000000.0
Change To Operating Activities,271000000.0,1587000000.0,504000000.0,2190000000.0,2797000000.0
Net Income,828000000.0,900000000.0,1321000000.0,1808000000.0,1347000000.0
Change In Cash,153000000.0,1261000000.0,6781000000.0,-1174000000.0,2257000000.0
Repurchase Of Stock,-65000000.0,-71000000.0,-75000000.0,-626000000.0,-297000000.0
Effect Of Exchange Rate,-2000000.0,-2000000.0,-2000000.0,18000000.0,-11000000.0
Total Cash From Operating Activities,1489000000.0,1234000000.0,1483000000.0,5503000000.0,4205000000.0
Depreciation,361000000.0,495000000.0,643000000.0,1259000000.0,1476000000.0
Other Cashflows From Investing Activities,12000000.0,-22000000.0,-22000000.0,-22000000.0,19000000.0
Change To Account Receivables,-50000000.0,-1173000000.0,-1076000000.0,-52000000.0,-2453000000.0
Other Cashflows From Financing Activities,-64000000.0,-90000000.0,-11000000.0,-154000000.0,-174000000.0
Change To Netincome,7000000.0,10000000.0,521000000.0,241000000.0,6000000.0
Capital Expenditures,-422000000.0,-675000000.0,-730000000.0,-869000000.0,-910000000.0
Issuance Of Stock,2779000000.0,2779000000.0,,,
