,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30
Investments,-136726000.0,133667000.0,-10803000.0,7878000.0,-3023000.0,-1821000.0,-19971000.0,-1445000.0,-101664000.0
Change To Liabilities,8187000.0,16303000.0,36755000.0,-75504000.0,28114000.0,-22000.0,17092000.0,21402000.0,3115000.0
Total Cashflows From Investing Activities,-244514000.0,-80168000.0,-338064000.0,-124366000.0,-159333000.0,-164486000.0,-336548000.0,-118366000.0,-144866000.0
Net Borrowings,1222768000.0,-1789532000.0,37398000.0,908671000.0,-51992000.0,-56302000.0,-46122000.0,-44705000.0,385929000.0
Total Cash From Financing Activities,1142581000.0,-2621271000.0,-465079000.0,537278000.0,-381730000.0,-464151000.0,-774363000.0,-341571000.0,-103394000.0
Change To Operating Activities,97887000.0,44426000.0,-48829000.0,-103918000.0,26154000.0,99302000.0,-36358000.0,-95162000.0,-82295000.0
Net Income,201602000.0,158674000.0,173773000.0,237403000.0,293820000.0,259754000.0,187473000.0,162122000.0,224809000.0
Change In Cash,1547231000.0,-2218382000.0,-315547000.0,559250000.0,145438000.0,-67869000.0,-583649000.0,-134379000.0,-64844000.0
Repurchase Of Stock,-2397000.0,-704080000.0,-437377000.0,-318774000.0,-285338000.0,-338148000.0,-656367000.0,-236733000.0,-428565000.0
Effect Of Exchange Rate,-1958000.0,330000.0,2798000.0,-7966000.0,6769000.0,-6184000.0,-2626000.0,3363000.0,-4705000.0
Total Cash From Operating Activities,651122000.0,482727000.0,484798000.0,154304000.0,679732000.0,566952000.0,529888000.0,322195000.0,188121000.0
Depreciation,157376000.0,156894000.0,161486000.0,165701000.0,169689000.0,170462000.0,174763000.0,172944000.0,171176000.0
Change To Inventory,-2531000.0,-7749000.0,-3904000.0,-5303000.0,2033000.0,780000.0,8210000.0,849000.0,-2776000.0
Change To Account Receivables,48160000.0,-27599000.0,-8682000.0,-224274000.0,107103000.0,-88621000.0,67652000.0,-66270000.0,-65773000.0
Other Cashflows From Financing Activities,-77790000.0,-131497000.0,-65100000.0,-52619000.0,-44400000.0,-69701000.0,-71874000.0,-60133000.0,-60758000.0
Change To Netincome,112625000.0,237138000.0,161430000.0,97480000.0,104785000.0,113441000.0,96744000.0,73837000.0,55976000.0
Capital Expenditures,-136725000.0,-158229000.0,-224645000.0,-144913000.0,-149525000.0,-157471000.0,-189556000.0,-123108000.0,-142353000.0
Other Cashflows From Investing Activities,,,,-745000.0,-745000.0,-745000.0,-745000.0,,
Issuance Of Stock,3838000.0,3838000.0,,,,,,,
