,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31
Intangible Assets,3389000000.0,45103000000.0,39520000000.0,41577000000.0,34779000000.0
Capital Surplus,2940000000.0,27751000000.0,28306000000.0,28975000000.0,29574000000.0
Total Liab,47999000000.0,112154000000.0,110395000000.0,105065000000.0,107705000000.0
Total Stockholder Equity,13711000000.0,41028000000.0,45338000000.0,50321000000.0,47112000000.0
Minority Interest,49000000.0,44000000.0,41000000.0,65000000.0,72000000.0
Other Current Liab,569000000.0,1430000000.0,8025000000.0,1712000000.0,7774000000.0
Total Assets,61759000000.0,153226000000.0,155774000000.0,155451000000.0,154889000000.0
Common Stock,74000000.0,4000000.0,4000000.0,4000000.0,4000000.0
Other Current Assets,820000000.0,1236000000.0,10912000000.0,930000000.0,11340000000.0
Retained Earnings,15800000000.0,15088000000.0,20162000000.0,28575000000.0,32593000000.0
Other Liab,31791000000.0,40736000000.0,37899000000.0,39007000000.0,32572000000.0
Good Will,6164000000.0,44505000000.0,44602000000.0,44648000000.0,45811000000.0
Treasury Stock,-5103000000.0,-1815000000.0,-3134000000.0,-7233000000.0,-15059000000.0
Other Assets,19423000000.0,18936000000.0,15312000000.0,19191000000.0,15557000000.0
Cash,2972000000.0,3855000000.0,4619000000.0,10182000000.0,5081000000.0
Total Current Liabilities,11009000000.0,31895000000.0,40138000000.0,36022000000.0,43572000000.0
Other Stockholder Equity,-1082000000.0,-1711000000.0,-941000000.0,-861000000.0,-884000000.0
Property Plant Equipment,756000000.0,1283000000.0,4953000000.0,1744000000.0,4170000000.0
Total Current Assets,9296000000.0,20398000000.0,29845000000.0,27786000000.0,36134000000.0
Long Term Investments,22731000000.0,23001000000.0,21542000000.0,20505000000.0,18438000000.0
Net Tangible Assets,6395000000.0,-45759000000.0,-35826000000.0,-32519000000.0,-32801000000.0
Short Term Investments,2121000000.0,2013000000.0,937000000.0,1318000000.0,920000000.0
Net Receivables,3155000000.0,10473000000.0,10716000000.0,12191000000.0,15071000000.0
Long Term Debt,5199000000.0,39523000000.0,31832000000.0,29509000000.0,31097000000.0
Inventory,228000000.0,2821000000.0,2661000000.0,3165000000.0,3722000000.0
Accounts Payable,6487000000.0,21521000000.0,20465000000.0,23648000000.0,27282000000.0
Short Long Term Debt,131000000.0,1112000000.0,4192000000.0,,
Deferred Long Term Asset Charges,39000000.0,,,,
