,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30
Investments,878000000.0,-16000000.0,2000000.0,1000000.0,38000000.0,2000000.0,16000000.0,-29000000.0,-38000000.0
Change To Liabilities,-610000000.0,313000000.0,1548000000.0,-594000000.0,1058000000.0,-292000000.0,1351000000.0,62000000.0,2307000000.0
Total Cashflows From Investing Activities,742000000.0,-94000000.0,-97000000.0,-99000000.0,-88000000.0,862000000.0,-47000000.0,-44000000.0,-204000000.0
Net Borrowings,-511000000.0,-40000000.0,-9000000.0,-4000000.0,-517000000.0,-587000000.0,-5000000.0,-5000000.0,-288000000.0
Total Cash From Financing Activities,-528000000.0,-198000000.0,-146000000.0,-324000000.0,-649000000.0,-1264000000.0,-444000000.0,-340000000.0,-415000000.0
Change To Operating Activities,1125000000.0,585000000.0,-81000000.0,515000000.0,-567000000.0,-495000000.0,-1347000000.0,1636000000.0,499000000.0
Issuance Of Stock,12000000.0,6000000.0,6000000.0,9000000.0,9000000.0,7000000.0,7000000.0,7000000.0,7000000.0
Net Income,656000000.0,-253000000.0,629000000.0,119000000.0,116000000.0,271000000.0,49000000.0,-1391000000.0,138000000.0
Change In Cash,442000000.0,-25000000.0,991000000.0,-238000000.0,-92000000.0,-944000000.0,698000000.0,-805000000.0,2361000000.0
Effect Of Exchange Rate,-12000000.0,-3000000.0,17000000.0,-6000000.0,3000000.0,-5000000.0,-6000000.0,-2000000.0,-12000000.0
Total Cash From Operating Activities,240000000.0,270000000.0,1217000000.0,277000000.0,665000000.0,-646000000.0,1195000000.0,-419000000.0,2992000000.0
Depreciation,225000000.0,205000000.0,199000000.0,199000000.0,180000000.0,168000000.0,164000000.0,181000000.0,179000000.0
Dividends Paid,-141000000.0,-146000000.0,-143000000.0,-143000000.0,-141000000.0,-149000000.0,-140000000.0,-136000000.0,-134000000.0
Change To Inventory,-401000000.0,-245000000.0,-1011000000.0,-67000000.0,-261000000.0,-129000000.0,-232000000.0,-561000000.0,-149000000.0
Change To Account Receivables,735000000.0,-388000000.0,-111000000.0,-12000000.0,-393000000.0,-214000000.0,-115000000.0,-864000000.0,-333000000.0
Change To Netincome,-1490000000.0,53000000.0,44000000.0,117000000.0,532000000.0,45000000.0,1325000000.0,518000000.0,351000000.0
Capital Expenditures,-136000000.0,-78000000.0,-96000000.0,-100000000.0,-126000000.0,-67000000.0,-74000000.0,-82000000.0,-164000000.0
Repurchase Of Stock,-12000000.0,-12000000.0,-195000000.0,-195000000.0,-528000000.0,-528000000.0,-299000000.0,-199000000.0,
Other Cashflows From Investing Activities,,,,,71000000.0,71000000.0,71000000.0,71000000.0,
Other Cashflows From Financing Activities,112000000.0,18000000.0,18000000.0,18000000.0,,,,,
