,2020-06-30,2020-09-30,2020-12-31,2021-03-31
Investments,53350000.0,-34729000.0,-15425000.0,40796000.0
Change To Liabilities,46217000.0,73924000.0,26398000.0,-86433000.0
Total Cashflows From Investing Activities,-541372000.0,-840704000.0,-1079828000.0,185458000.0
Net Borrowings,10939000.0,174108000.0,-1585000.0,259493000.0
Total Cash From Financing Activities,313818000.0,826322000.0,-295461000.0,-416665000.0
Net Income,74831000.0,-138000.0,57691000.0,385920000.0
Change In Cash,260334000.0,467556000.0,-862937000.0,107060000.0
Effect Of Exchange Rate,2178000.0,13569000.0,-13450000.0,10392000.0
Total Cash From Operating Activities,485710000.0,468369000.0,525802000.0,327875000.0
Depreciation,330344000.0,354484000.0,343754000.0,371870000.0
Other Cashflows From Investing Activities,41573000.0,22994000.0,16181000.0,-4676000.0
Dividends Paid,-341506000.0,-332636000.0,-13771000.0,-664865000.0
Change To Account Receivables,-6236000.0,-46028000.0,16353000.0,-117563000.0
Other Cashflows From Financing Activities,6691000.0,-10298000.0,-28898000.0,-11293000.0
Change To Netincome,15241000.0,75545000.0,62592000.0,-230591000.0
Change To Operating Activities,-1941000.0,-7779000.0,-5125000.0,
Repurchase Of Stock,-1207000.0,-1207000.0,-1207000.0,
Issuance Of Stock,637694000.0,1245148000.0,,
