,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31
Capital Surplus,7884000000.0,8046000000.0,14955000000.0,16552000000.0,16749000000.0
Total Liab,21454000000.0,22524000000.0,72958000000.0,61491000000.0,54709000000.0
Total Stockholder Equity,20572000000.0,21330000000.0,24470000000.0,8811000000.0,10565000000.0
Other Current Liab,948000000.0,807000000.0,2969000000.0,1266000000.0,693000000.0
Total Assets,42026000000.0,43854000000.0,107190000000.0,80064000000.0,75036000000.0
Common Stock,179000000.0,179000000.0,209000000.0,216000000.0,217000000.0
Other Current Assets,1131000000.0,678000000.0,5696000000.0,2688000000.0,1288000000.0
Retained Earnings,21935000000.0,23750000000.0,20180000000.0,2996000000.0,4480000000.0
Other Liab,4726000000.0,4911000000.0,20068000000.0,16060000000.0,15933000000.0
Treasury Stock,-9426000000.0,-10645000000.0,-10874000000.0,-10953000000.0,-10881000000.0
Other Assets,1067000000.0,805000000.0,1322000000.0,1044000000.0,1231000000.0
Cash,1672000000.0,3033000000.0,3032000000.0,2008000000.0,2764000000.0
Total Current Liabilities,7400000000.0,7412000000.0,12705000000.0,8223000000.0,8324000000.0
Deferred Long Term Asset Charges,,,,56000000.0,37000000.0
Short Long Term Debt,500000000.0,116000000.0,657000000.0,1334000000.0,416000000.0
Other Stockholder Equity,-258000000.0,-172000000.0,-221000000.0,-288000000.0,-208000000.0
Property Plant Equipment,31174000000.0,31437000000.0,83641000000.0,66951000000.0,60656000000.0
Total Current Assets,8270000000.0,9932000000.0,14633000000.0,8819000000.0,10211000000.0
Long Term Investments,1515000000.0,1680000000.0,6394000000.0,3250000000.0,2938000000.0
Net Tangible Assets,20572000000.0,21330000000.0,23270000000.0,8811000000.0,10565000000.0
Net Receivables,4221000000.0,4961000000.0,4319000000.0,2225000000.0,4313000000.0
Long Term Debt,9328000000.0,10201000000.0,38966000000.0,36251000000.0,29363000000.0
Inventory,1246000000.0,1260000000.0,1581000000.0,1898000000.0,1846000000.0
Accounts Payable,4408000000.0,4885000000.0,4910000000.0,2987000000.0,3899000000.0
Good Will,,,1200000000.0,,
