,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31
Investments,59000000.0,-182000000.0,355000000.0,109000000.0,406000000.0
Change To Liabilities,-89000000.0,-1500000000.0,358000000.0,-3228000000.0,865000000.0
Total Cashflows From Investing Activities,-3079000000.0,-3206000000.0,-29027000000.0,-819000000.0,-1253000000.0
Net Borrowings,478000000.0,478000000.0,15057000000.0,-1980000000.0,-6834000000.0
Total Cash From Financing Activities,-2343000000.0,-3102000000.0,22193000000.0,-4516000000.0,-8572000000.0
Change To Operating Activities,719000000.0,171000000.0,170000000.0,350000000.0,-119000000.0
Issuance Of Stock,28000000.0,33000000.0,10028000000.0,134000000.0,31000000.0
Net Income,1311000000.0,4131000000.0,-667000000.0,-14831000000.0,2322000000.0
Change In Cash,-561000000.0,1361000000.0,541000000.0,-1380000000.0,609000000.0
Repurchase Of Stock,-25000000.0,-1248000000.0,-237000000.0,-12000000.0,-8000000.0
Total Cash From Operating Activities,4861000000.0,7669000000.0,7375000000.0,3955000000.0,10434000000.0
Depreciation,4403000000.0,4393000000.0,6425000000.0,15196000000.0,8751000000.0
Other Cashflows From Investing Activities,122000000.0,55000000.0,-424000000.0,-560000000.0,18000000.0
Dividends Paid,-2346000000.0,-2374000000.0,-2624000000.0,-1845000000.0,-839000000.0
Change To Inventory,-349000000.0,-108000000.0,78000000.0,-484000000.0,-86000000.0
Change To Account Receivables,-158000000.0,955000000.0,401000000.0,2062000000.0,-2086000000.0
Other Cashflows From Financing Activities,9000000.0,9000000.0,-31000000.0,-813000000.0,-922000000.0
Change To Netincome,-1040000000.0,-411000000.0,590000000.0,4868000000.0,787000000.0
Capital Expenditures,-3599000000.0,-4975000000.0,-6367000000.0,-2535000000.0,-2870000000.0
