,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30
Investments,61000000.0,-15000000.0,-79000000.0,486000000.0,-10000000.0,-497000000.0,427000000.0,-3000000.0,-69000000.0
Change To Liabilities,-307000000.0,4708000000.0,-3228000000.0,-42000000.0,517000000.0,118000000.0,272000000.0,-187000000.0,958000000.0
Total Cashflows From Investing Activities,-576000000.0,-292000000.0,1579000000.0,-282000000.0,-754000000.0,-166000000.0,-51000000.0,-662000000.0,-1293000000.0
Net Borrowings,341000000.0,341000000.0,-2321000000.0,-174000000.0,-4381000000.0,-4381000000.0,-2279000000.0,-3259000000.0,-3849000000.0
Total Cash From Financing Activities,-935000000.0,301000000.0,-2863000000.0,-354000000.0,-262000000.0,-5424000000.0,-2532000000.0,-3429000000.0,-4586000000.0
Change To Operating Activities,-132000000.0,-1432000000.0,1590000000.0,-82000000.0,-23000000.0,-67000000.0,53000000.0,-158000000.0,170000000.0
Issuance Of Stock,18000000.0,18000000.0,8000000.0,6000000.0,8000000.0,13000000.0,7000000.0,27000000.0,90000000.0
Net Income,-8131000000.0,-3575000000.0,-1112000000.0,-146000000.0,103000000.0,828000000.0,1537000000.0,4876000000.0,3755000000.0
Change In Cash,-1151000000.0,861000000.0,120000000.0,274000000.0,2298000000.0,-2472000000.0,509000000.0,-852000000.0,-550000000.0
Repurchase Of Stock,-4000000.0,-8000000.0,-8000000.0,-3000000.0,-8000000.0,-8000000.0,-8000000.0,-36000000.0,-532000000.0
Total Cash From Operating Activities,360000000.0,852000000.0,1404000000.0,910000000.0,3314000000.0,3118000000.0,3092000000.0,3239000000.0,5329000000.0
Depreciation,8596000000.0,1936000000.0,1841000000.0,2329000000.0,2392000000.0,1933000000.0,2097000000.0,1643000000.0,1728000000.0
Other Cashflows From Investing Activities,-311000000.0,11000000.0,196000000.0,-84000000.0,-38000000.0,-9000000.0,149000000.0,-39000000.0,-29000000.0
Change To Inventory,111000000.0,-41000000.0,-484000000.0,-311000000.0,369000000.0,34000000.0,-178000000.0,439000000.0,-152000000.0
Change To Account Receivables,90000000.0,-3999000000.0,2062000000.0,-937000000.0,-242000000.0,-187000000.0,-720000000.0,-1238000000.0,-917000000.0
Other Cashflows From Financing Activities,-235000000.0,-51000000.0,-331000000.0,28000000.0,-270000000.0,-846000000.0,-43000000.0,55000000.0,-295000000.0
Change To Netincome,116000000.0,3320000000.0,713000000.0,74000000.0,205000000.0,414000000.0,94000000.0,-2341000000.0,-335000000.0
Capital Expenditures,-382000000.0,-246000000.0,-614000000.0,-579000000.0,-698000000.0,-656000000.0,-937000000.0,-858000000.0,-972000000.0
Dividends Paid,-714000000.0,-7000000.0,-211000000.0,-211000000.0,-210000000.0,-210000000.0,-209000000.0,-216000000.0,
