,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31
Investments,119000000.0,113000000.0,1000000.0,3000000.0,171000000.0
Change To Liabilities,67000000.0,108000000.0,-27000000.0,332000000.0,190000000.0
Total Cashflows From Investing Activities,-25000000.0,-651000000.0,582000000.0,531000000.0,-12000000.0
Net Borrowings,55000000.0,-115000000.0,-209000000.0,13000000.0,152000000.0
Total Cash From Financing Activities,-577000000.0,-1020000000.0,-1291000000.0,-886000000.0,-1298000000.0
Issuance Of Stock,14000000.0,14000000.0,27000000.0,26000000.0,5000000.0
Net Income,533000000.0,734000000.0,935000000.0,1224000000.0,410000000.0
Change In Cash,204000000.0,-635000000.0,138000000.0,629000000.0,-400000000.0
Repurchase Of Stock,-364000000.0,-696000000.0,-919000000.0,-752000000.0,-1041000000.0
Effect Of Exchange Rate,55000000.0,4000000.0,14000000.0,31000000.0,-20000000.0
Total Cash From Operating Activities,751000000.0,1032000000.0,833000000.0,953000000.0,930000000.0
Depreciation,127000000.0,120000000.0,130000000.0,133000000.0,151000000.0
Other Cashflows From Investing Activities,-34000000.0,-10000000.0,-13000000.0,-2000000.0,-3000000.0
Dividends Paid,-129000000.0,-134000000.0,-144000000.0,-145000000.0,-211000000.0
Change To Inventory,-78000000.0,-11000000.0,58000000.0,-89000000.0,-350000000.0
Change To Account Receivables,-140000000.0,-46000000.0,-37000000.0,-141000000.0,-64000000.0
Other Cashflows From Financing Activities,-139000000.0,-89000000.0,-46000000.0,-28000000.0,-203000000.0
Change To Netincome,217000000.0,106000000.0,-238000000.0,-508000000.0,593000000.0
Capital Expenditures,-173000000.0,-219000000.0,-162000000.0,-114000000.0,-128000000.0
Change To Operating Activities,51000000.0,51000000.0,,,
