,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31
Investments,1000000.0,1000000.0,1000000.0,1000000.0,167000000.0,2000000.0,1000000.0
Change To Liabilities,256000000.0,-18000000.0,0.0,-139000000.0,153000000.0,133000000.0,43000000.0
Total Cashflows From Investing Activities,-8000000.0,-29000000.0,-25000000.0,-25000000.0,147000000.0,-79000000.0,-55000000.0
Net Borrowings,3000000.0,11000000.0,154000000.0,154000000.0,-1000000.0,-1000000.0,-1000000.0
Total Cash From Financing Activities,-55000000.0,-27000000.0,-359000000.0,-359000000.0,-550000000.0,-186000000.0,-203000000.0
Issuance Of Stock,1000000.0,5000000.0,1000000.0,1000000.0,1000000.0,4000000.0,4000000.0
Net Income,224000000.0,275000000.0,195000000.0,94000000.0,-36000000.0,220000000.0,132000000.0
Change In Cash,322000000.0,237000000.0,-486000000.0,-486000000.0,-71000000.0,85000000.0,72000000.0
Repurchase Of Stock,-3000000.0,-3000000.0,-317000000.0,-317000000.0,-447000000.0,-128000000.0,-149000000.0
Effect Of Exchange Rate,3000000.0,10000000.0,-13000000.0,-13000000.0,4000000.0,-6000000.0,-5000000.0
Total Cash From Operating Activities,382000000.0,283000000.0,-89000000.0,-89000000.0,328000000.0,356000000.0,335000000.0
Depreciation,33000000.0,33000000.0,43000000.0,43000000.0,35000000.0,36000000.0,37000000.0
Other Cashflows From Investing Activities,1000000.0,-6000000.0,4000000.0,4000000.0,-1000000.0,4000000.0,-10000000.0
Dividends Paid,-36000000.0,-35000000.0,-36000000.0,-36000000.0,-60000000.0,-58000000.0,-57000000.0
Change To Inventory,9000000.0,-54000000.0,-78000000.0,-78000000.0,-69000000.0,-90000000.0,-113000000.0
Change To Account Receivables,-159000000.0,48000000.0,-195000000.0,-195000000.0,-43000000.0,19000000.0,155000000.0
Change To Netincome,19000000.0,-1000000.0,186000000.0,186000000.0,288000000.0,38000000.0,81000000.0
Capital Expenditures,-21000000.0,-27000000.0,-30000000.0,-30000000.0,-23000000.0,-29000000.0,-46000000.0
Other Cashflows From Financing Activities,-23000000.0,-5000000.0,-160000000.0,-160000000.0,-43000000.0,,
