Open,High,Low,Close,Adj Close,Volume
1917.0,1917.0,1917.0,1917.0,1917.0,0
1917.21,1917.21,1917.21,1917.21,1917.21,0
1917.21,1917.21,1917.21,1917.21,1917.21,0
1917.23,1917.23,1917.23,1917.23,1917.23,0
1917.21,1917.21,1917.21,1917.21,1917.21,0
1918.93,1919.5,1918.93,1919.5,1919.5,0
1919.51,1919.51,1919.51,1919.51,1919.51,0
1919.52,1920.0,1919.52,1920.0,1920.0,0
1920.0,1920.58,1920.0,1920.58,1920.58,0
1920.19,1920.19,1920.0,1920.0,1920.0,0
1920.61,1920.61,1920.61,1920.61,1920.61,0
1918.13,1918.13,1918.13,1918.13,1918.13,0
1917.16,1917.16,1917.16,1917.16,1917.16,0
1917.21,1917.21,1917.21,1917.21,1917.21,0
1919.34,1919.99,1919.34,1919.99,1919.99,0
1918.67,1918.67,1918.67,1918.67,1918.67,0
1918.45,1918.45,1918.45,1918.45,1918.45,0
1917.97,1917.97,1917.97,1917.97,1917.97,0
1917.24,1917.24,1917.0,1917.0,1917.0,0
1918.5,1920.8,1918.5,1920.69,1920.69,0
1917.04,1920.69,1917.01,1920.69,1920.69,0
1920.69,1920.69,1920.69,1920.69,1920.69,0
1917.57,1920.69,1917.2,1920.69,1920.69,0
1920.76,1924.0,1919.44,1919.44,1919.44,0
1917.2,1917.27,1917.2,1917.27,1917.27,0
1917.2,1917.2,1917.2,1917.2,1917.2,0
1920.69,1920.69,1920.0,1920.0,1920.0,0
1917.66,1917.66,1917.36,1917.36,1917.36,0
1917.71,1917.71,1917.36,1917.36,1917.36,0
1917.37,1918.22,1917.37,1918.22,1918.22,0
1918.21,1918.21,1918.21,1918.21,1918.21,0
1918.4,1918.4,1918.4,1918.4,1918.4,0
1921.0,1921.0,1921.0,1921.0,1921.0,0
1920.04,1920.04,1920.04,1920.04,1920.04,0
1922.0,1922.0,1922.0,1922.0,1922.0,0
1920.44,1920.44,1918.37,1918.37,1918.37,0
1918.21,1918.21,1917.4,1917.4,1917.4,0
1917.42,1917.42,1917.4,1917.4,1917.4,0
1917.36,1917.36,1917.36,1917.36,1917.36,0
1917.36,1917.36,1917.36,1917.36,1917.36,0
1919.98,1919.98,1919.98,1919.98,1919.98,0
1919.98,1919.98,1919.98,1919.98,1919.98,0
1920.95,1920.95,1920.95,1920.95,1920.95,0
1919.59,1919.59,1919.59,1919.59,1919.59,0
1919.84,1919.84,1919.69,1919.69,1919.69,0
1917.56,1919.68,1917.56,1919.68,1919.68,0
1919.68,1920.02,1919.68,1920.02,1920.02,0
1917.56,1917.56,1917.56,1917.56,1917.56,0
1917.58,1917.58,1917.55,1917.55,1917.55,0
1917.56,1917.56,1917.56,1917.56,1917.56,0
1919.93,1923.0,1919.93,1922.99,1922.99,0
1923.0,1924.52,1922.58,1924.52,1924.52,0
1925.0,1925.0,1925.0,1925.0,1925.0,0
1922.99,1924.75,1922.99,1924.75,1924.75,0
1924.67,1925.0,1919.56,1925.0,1925.0,0
1926.0,1926.0,1925.5,1925.5,1925.5,0
1925.42,1926.01,1925.0,1925.21,1925.21,0
1920.99,1920.99,1920.99,1920.99,1920.99,0
1921.8,1921.8,1921.8,1921.8,1921.8,0
