,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30
Investments,-33000.0,-68819000.0,-68819000.0,-6000.0,-1762000.0,-27000.0
Change To Liabilities,177919000.0,146928000.0,99177000.0,134091000.0,264694000.0,25925000.0
Total Cashflows From Investing Activities,-108586000.0,-112111000.0,-167556000.0,-93757000.0,-127135000.0,-116844000.0
Total Cash From Financing Activities,-406032000.0,76389000.0,-1482234000.0,-651304000.0,-674576000.0,-917637000.0
Change To Operating Activities,146882000.0,97003000.0,-42968000.0,25188000.0,31390000.0,68029000.0
Issuance Of Stock,15793000.0,25581000.0,11110000.0,13557000.0,28364000.0,25440000.0
Net Income,531667000.0,527252000.0,392945000.0,501609000.0,585451000.0,558652000.0
Change In Cash,585356000.0,754675000.0,-1161458000.0,145240000.0,20738000.0,-182316000.0
Repurchase Of Stock,-76975000.0,-442973000.0,-993194000.0,-664548000.0,-399641000.0,-942972000.0
Effect Of Exchange Rate,-11000.0,346000.0,858000.0,-371000.0,289000.0,-330000.0
Total Cash From Operating Activities,1099985000.0,790051000.0,487474000.0,890672000.0,822160000.0,852495000.0
Depreciation,77910000.0,79637000.0,83125000.0,79757000.0,79160000.0,78737000.0
Other Cashflows From Investing Activities,-311000.0,-1000.0,-663000.0,-969000.0,-114000.0,-814000.0
Change To Inventory,28851000.0,1847000.0,-122625000.0,30915000.0,-24558000.0,63000.0
Change To Account Receivables,-22758000.0,-4000.0,14455000.0,-37917000.0,-7442000.0,-11384000.0
Other Cashflows From Financing Activities,-850000.0,-3939000.0,-150000.0,-313000.0,-3299000.0,-105000.0
Change To Netincome,79491000.0,23514000.0,-12073000.0,17763000.0,18116000.0,2521000.0
Capital Expenditures,-111187000.0,-118954000.0,-102154000.0,-94879000.0,-127728000.0,-118080000.0
Net Borrowings,-344000000.0,497720000.0,-500000000.0,-300000000.0,-300000000.0,
