,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31
Capital Surplus,1289976000.0,1303699000.0,1280841000.0,1274033000.0,1295363000.0,1296358000.0,1305508000.0
Total Liab,11139435000.0,11794726000.0,11456384000.0,11857864000.0,11731639000.0,11930238000.0,11785130000.0
Total Stockholder Equity,589100000.0,709225000.0,140258000.0,-6977000.0,217694000.0,-140853000.0,-66423000.0
Other Current Liab,428683000.0,346106000.0,314179000.0,511284000.0,385752000.0,544463000.0,370217000.0
Total Assets,11728535000.0,12503951000.0,11596642000.0,11850887000.0,11949333000.0,11789385000.0,11718707000.0
Common Stock,741000.0,733000.0,711000.0,697000.0,691000.0,677000.0,670000.0
Other Current Assets,53206000.0,45315000.0,50658000.0,73947000.0,72994000.0,72154000.0,70092000.0
Retained Earnings,-679506000.0,-578172000.0,-1139139000.0,-1275409000.0,-1075769000.0,-1430060000.0,-1365802000.0
Other Liab,337618000.0,362272000.0,352059000.0,368766000.0,387583000.0,385398000.0,381780000.0
Good Will,872997000.0,873717000.0,881030000.0,879466000.0,881207000.0,878872000.0,879340000.0
Treasury Stock,-22111000.0,-17035000.0,-2155000.0,-6298000.0,-2591000.0,-7828000.0,-6799000.0
Other Assets,58750000.0,61172000.0,9563000.0,63513000.0,67178000.0,135504000.0,16360000.0
Cash,872423000.0,1627098000.0,465640000.0,610880000.0,631618000.0,449302000.0,362113000.0
Total Current Liabilities,5022136000.0,5669384000.0,5262417000.0,5903078000.0,5771612000.0,5989754000.0,5874615000.0
Other Stockholder Equity,-22111000.0,-17035000.0,-2155000.0,-6298000.0,-2591000.0,-7828000.0,-6799000.0
Property Plant Equipment,5964753000.0,5986794000.0,6090045000.0,6153993000.0,6192483000.0,6212800000.0,6195993000.0
Total Current Assets,4784485000.0,5533441000.0,4499787000.0,4687639000.0,4738347000.0,4562209000.0,4504262000.0
Net Tangible Assets,-283897000.0,-164492000.0,-797078000.0,-886443000.0,-663513000.0,-1019725000.0,-994959000.0
Net Receivables,330173000.0,333533000.0,330294000.0,380611000.0,386322000.0,393765000.0,385674000.0
Long Term Debt,4127397000.0,4122424000.0,4123217000.0,3824288000.0,3825177000.0,3826073000.0,3826978000.0
Inventory,3528683000.0,3527495000.0,3653195000.0,3622201000.0,3647413000.0,3646988000.0,3686383000.0
Accounts Payable,3936400000.0,4083805000.0,4184662000.0,4318462000.0,4583570000.0,4608549000.0,4695312000.0
Long Term Investments,47550000.0,48827000.0,59911000.0,66276000.0,70118000.0,,73556000.0
Short Long Term Debt,,499783000.0,,299880000.0,,,
Intangible Assets,,,56306000.0,,,,49196000.0
Deferred Long Term Liab,,,600000.0,,,,3400000.0
