,2017-12-31,2018-12-31,2019-12-31,2020-12-31
Investments,-20400000.0,-19200000.0,-36700000.0,-7400000.0
Change To Liabilities,160400000.0,-24000000.0,9400000.0,16000000.0
Total Cashflows From Investing Activities,-681100000.0,-651900000.0,-676300000.0,-526000000.0
Net Borrowings,133600000.0,69800000.0,562500000.0,527600000.0
Total Cash From Financing Activities,-383800000.0,-327400000.0,-378900000.0,-510300000.0
Change To Operating Activities,-68600000.0,-39200000.0,5000000.0,-22800000.0
Issuance Of Stock,700000.0,1800000.0,7000000.0,9900000.0
Net Income,962000000.0,627400000.0,538900000.0,617000000.0
Change In Cash,-36500000.0,-33600000.0,48300000.0,39400000.0
Repurchase Of Stock,-375600000.0,-243500000.0,-792500000.0,-888900000.0
Effect Of Exchange Rate,-4200000.0,-4200000.0,-500000.0,-4300000.0
Total Cash From Operating Activities,1028400000.0,949900000.0,1104000000.0,1080000000.0
Depreciation,320900000.0,346700000.0,350700000.0,357900000.0
Other Cashflows From Investing Activities,-15500000.0,3900000.0,-8000000.0,-16600000.0
Dividends Paid,-142500000.0,-147500000.0,-144300000.0,-152300000.0
Change To Inventory,1400000.0,-4500000.0,500000.0,21700000.0
Change To Account Receivables,-46700000.0,-67400000.0,38200000.0,25500000.0
Other Cashflows From Financing Activities,-8000000.0,-8000000.0,-11600000.0,-6600000.0
Change To Netincome,-301000000.0,110900000.0,161300000.0,64700000.0
Capital Expenditures,-628000000.0,-619200000.0,-626200000.0,-490100000.0
