,2018-02-03,2019-02-02,2020-02-01,2021-01-30,2022-01-29
Change To Liabilities,54500000.0,242600000.0,-79800000.0,142600000.0,403800000.0
Total Cashflows From Investing Activities,-627900000.0,-816700000.0,-1020200000.0,-889700000.0,-1019900000.0
Net Borrowings,-659100000.0,-1438900000.0,-500000000.0,-550000000.0,197400000.0
Total Cash From Financing Activities,-651500000.0,-1599900000.0,-709800000.0,-949900000.0,-836500000.0
Change To Operating Activities,-147400000.0,-123900000.0,46000000.0,286900000.0,-192700000.0
Issuance Of Stock,35000000.0,17500000.0,15200000.0,17000000.0,17800000.0
Net Income,1714300000.0,-1590800000.0,827000000.0,1341900000.0,1327900000.0
Change In Cash,231400000.0,-651100000.0,139300000.0,877600000.0,-425300000.0
Repurchase Of Stock,-27400000.0,-23200000.0,-225000000.0,-416900000.0,-992400000.0
Effect Of Exchange Rate,600000.0,-500000.0,-500000.0,900000.0,-400000.0
Total Cash From Operating Activities,1510200000.0,1766000000.0,1869800000.0,2716300000.0,1431500000.0
Depreciation,611200000.0,621100000.0,645400000.0,686600000.0,716000000.0
Other Cashflows From Investing Activities,14600000.0,14600000.0,14600000.0,1300000.0,1300000.0
Change To Inventory,-300900000.0,-369200000.0,13600000.0,97100000.0,-940400000.0
Other Cashflows From Financing Activities,-155300000.0,-155300000.0,-59300000.0,-59300000.0,-59300000.0
Change To Netincome,-378400000.0,2900500000.0,408000000.0,133600000.0,111700000.0
Capital Expenditures,-632200000.0,-817100000.0,-1034800000.0,-898800000.0,-1021200000.0
Investments,4000000.0,,,,
