,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30
Intangible Assets,1072000000.0,1332000000.0,1308000000.0,1259000000.0,1228000000.0,1192000000.0
Capital Surplus,14398000000.0,14494000000.0,14642000000.0,14722000000.0,16352000000.0,16398000000.0
Total Liab,15413000000.0,17410000000.0,17327000000.0,16585000000.0,17664000000.0,17351000000.0
Total Stockholder Equity,9749000000.0,10360000000.0,10957000000.0,11069000000.0,11960000000.0,12145000000.0
Minority Interest,84000000.0,197000000.0,191000000.0,189000000.0,182000000.0,210000000.0
Other Current Liab,463000000.0,771000000.0,796000000.0,650000000.0,650000000.0,639000000.0
Total Assets,27546000000.0,30267000000.0,30775000000.0,30143000000.0,29806000000.0,29706000000.0
Common Stock,860000000.0,861000000.0,863000000.0,864000000.0,907000000.0,907000000.0
Other Current Assets,741000000.0,864000000.0,761000000.0,974000000.0,884000000.0,890000000.0
Retained Earnings,15847000000.0,16065000000.0,16120000000.0,16509000000.0,15739000000.0,16110000000.0
Other Liab,3985000000.0,5133000000.0,5111000000.0,4811000000.0,5397000000.0,5369000000.0
Good Will,1925000000.0,2427000000.0,2460000000.0,2429000000.0,2433000000.0,2425000000.0
Treasury Stock,-21356000000.0,-21060000000.0,-20668000000.0,-21026000000.0,-21038000000.0,-21270000000.0
Other Assets,2683000000.0,2647000000.0,2146000000.0,2988000000.0,3042000000.0,3027000000.0
Cash,2158000000.0,2514000000.0,2672000000.0,2868000000.0,2320000000.0,2212000000.0
Total Current Liabilities,3020000000.0,3849000000.0,3767000000.0,3513000000.0,4624000000.0,4337000000.0
Deferred Long Term Asset Charges,1266000000.0,1173000000.0,1121000000.0,992000000.0,1051000000.0,1062000000.0
Short Long Term Debt,12000000.0,256000000.0,71000000.0,154000000.0,353000000.0,50000000.0
Other Stockholder Equity,-1432000000.0,-1134000000.0,-740000000.0,-1092000000.0,-1052000000.0,-1259000000.0
Property Plant Equipment,14691000000.0,15449000000.0,16422000000.0,15364000000.0,15455000000.0,15383000000.0
Total Current Assets,6846000000.0,8058000000.0,8004000000.0,8103000000.0,7648000000.0,7679000000.0
Net Tangible Assets,6752000000.0,6601000000.0,7189000000.0,7381000000.0,8299000000.0,8528000000.0
Net Receivables,1712000000.0,2099000000.0,2133000000.0,1900000000.0,2057000000.0,2114000000.0
Long Term Debt,7797000000.0,7822000000.0,7653000000.0,7650000000.0,7025000000.0,7019000000.0
Inventory,2235000000.0,2581000000.0,2438000000.0,2361000000.0,2387000000.0,2463000000.0
Accounts Payable,1109000000.0,1176000000.0,1174000000.0,1272000000.0,1312000000.0,1396000000.0
Long Term Investments,329000000.0,354000000.0,435000000.0,,,
