,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31
Change To Liabilities,-28000000.0,96000000.0,196000000.0,-27000000.0,183000000.0,269000000.0,362000000.0,204000000.0
Total Cashflows From Investing Activities,-245000000.0,-148000000.0,-378000000.0,-288000000.0,-127000000.0,-388000000.0,-616000000.0,-278000000.0
Net Borrowings,9000000.0,3000000.0,-190000000.0,-25000000.0,-435000000.0,-381000000.0,3000000.0,-11000000.0
Total Cash From Financing Activities,-178000000.0,-143000000.0,-314000000.0,-190000000.0,-1199000000.0,-601000000.0,-462000000.0,-375000000.0
Change To Operating Activities,30000000.0,-39000000.0,-6000000.0,-26000000.0,-252000000.0,-43000000.0,-292000000.0,-292000000.0
Issuance Of Stock,13000000.0,36000000.0,75000000.0,51000000.0,31000000.0,9000000.0,6000000.0,18000000.0
Net Income,-71000000.0,427000000.0,252000000.0,599000000.0,449000000.0,371000000.0,487000000.0,581000000.0
Change In Cash,133000000.0,356000000.0,158000000.0,196000000.0,-548000000.0,-108000000.0,-64000000.0,-132000000.0
Repurchase Of Stock,,-56000000.0,-56000000.0,-56000000.0,-56000000.0,-23000000.0,-256000000.0,-149000000.0
Effect Of Exchange Rate,6000000.0,39000000.0,76000000.0,-49000000.0,7000000.0,-14000000.0,-9000000.0,-13000000.0
Total Cash From Operating Activities,550000000.0,608000000.0,774000000.0,723000000.0,771000000.0,895000000.0,1023000000.0,534000000.0
Depreciation,352000000.0,394000000.0,392000000.0,362000000.0,369000000.0,371000000.0,379000000.0,373000000.0
Other Cashflows From Investing Activities,16000000.0,5000000.0,-1000000.0,-23000000.0,17000000.0,11000000.0,9000000.0,31000000.0
Dividends Paid,-204000000.0,-204000000.0,-200000000.0,-208000000.0,-234000000.0,-217000000.0,-212000000.0,-228000000.0
Change To Inventory,120000000.0,187000000.0,183000000.0,44000000.0,-26000000.0,-90000000.0,-31000000.0,-159000000.0
Change To Account Receivables,-16000000.0,-308000000.0,7000000.0,109000000.0,-158000000.0,-97000000.0,92000000.0,7000000.0
Other Cashflows From Financing Activities,-200000000.0,22000000.0,1000000.0,-8000000.0,2000000.0,11000000.0,-3000000.0,-5000000.0
Change To Netincome,163000000.0,-149000000.0,-250000000.0,-338000000.0,206000000.0,114000000.0,-266000000.0,-180000000.0
Capital Expenditures,-288000000.0,-153000000.0,-391000000.0,-289000000.0,-324000000.0,-401000000.0,-623000000.0,-383000000.0
Investments,,85000000.0,85000000.0,85000000.0,85000000.0,2000000.0,-3000000.0,
