,2018-02-02,2019-02-01,2020-01-31,2021-01-29,2022-01-28
Capital Surplus,22000000.0,,,90000000.0,
Total Liab,29418000000.0,30864000000.0,37499000000.0,45298000000.0,49456000000.0
Total Stockholder Equity,5873000000.0,3644000000.0,1972000000.0,1437000000.0,-4816000000.0
Other Current Liab,2544000000.0,2875000000.0,2821000000.0,3782000000.0,4182000000.0
Total Assets,35291000000.0,34508000000.0,39471000000.0,46735000000.0,44640000000.0
Common Stock,415000000.0,401000000.0,381000000.0,366000000.0,335000000.0
Other Current Assets,689000000.0,938000000.0,1263000000.0,937000000.0,985000000.0
Retained Earnings,5425000000.0,3452000000.0,1727000000.0,1117000000.0,-5115000000.0
Other Liab,1758000000.0,1976000000.0,1606000000.0,2010000000.0,1887000000.0
Good Will,1307000000.0,303000000.0,303000000.0,311000000.0,311000000.0
Treasury Stock,11000000.0,-209000000.0,-136000000.0,-136000000.0,-36000000.0
Other Assets,1464000000.0,1545000000.0,1190000000.0,1107000000.0,1042000000.0
Cash,588000000.0,511000000.0,716000000.0,4690000000.0,1133000000.0
Total Current Liabilities,12096000000.0,14497000000.0,15182000000.0,18730000000.0,19668000000.0
Deferred Long Term Asset Charges,168000000.0,294000000.0,216000000.0,340000000.0,164000000.0
Short Long Term Debt,294000000.0,1045000000.0,525000000.0,1026000000.0,765000000.0
Other Stockholder Equity,11000000.0,-209000000.0,-136000000.0,-136000000.0,-36000000.0
Property Plant Equipment,19721000000.0,18432000000.0,22660000000.0,22987000000.0,23179000000.0
Total Current Assets,12772000000.0,14228000000.0,15318000000.0,22326000000.0,20060000000.0
Long Term Investments,27000000.0,,372000000.0,4000000.0,48000000.0
Net Tangible Assets,4566000000.0,3341000000.0,1669000000.0,1126000000.0,-5127000000.0
Short Term Investments,102000000.0,218000000.0,160000000.0,506000000.0,271000000.0
Long Term Debt,15564000000.0,13682000000.0,16156000000.0,20104000000.0,23317000000.0
Inventory,11393000000.0,12561000000.0,13179000000.0,16193000000.0,17605000000.0
Accounts Payable,6590000000.0,8279000000.0,7659000000.0,10884000000.0,11354000000.0
Intangible Assets,,569000000.0,,,
