,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31
Investments,-1352000000.0,-1352000000.0,-1352000000.0,-709000000.0,-400000000.0,-49000000.0,-132000000.0,-1344000000.0
Change To Liabilities,-1429000000.0,-213000000.0,2107000000.0,-774000000.0,-347000000.0,-555000000.0,622000000.0,321000000.0
Total Cashflows From Investing Activities,-667000000.0,-740000000.0,-1037000000.0,202000000.0,-308000000.0,332000000.0,21082000000.0,-444000000.0
Net Borrowings,-3506000000.0,-3228000000.0,-4599000000.0,-1518000000.0,-8589000000.0,-129000000.0,-26631000000.0,-1221000000.0
Total Cash From Financing Activities,-4079000000.0,-3040000000.0,-4814000000.0,-1605000000.0,-10401000000.0,-395000000.0,-32776000000.0,-1459000000.0
Net Income,-1987000000.0,-1144000000.0,2636000000.0,-2803000000.0,-1131000000.0,1257000000.0,-3843000000.0,-1042000000.0
Change In Cash,-5866000000.0,-2238000000.0,-2062000000.0,-3494000000.0,-10096000000.0,2178000000.0,-9338000000.0,-2534000000.0
Effect Of Exchange Rate,39000000.0,206000000.0,156000000.0,-131000000.0,94000000.0,-99000000.0,-77000000.0,-75000000.0
Total Cash From Operating Activities,-1158000000.0,1335000000.0,3634000000.0,-1959000000.0,518000000.0,2341000000.0,2432000000.0,-556000000.0
Depreciation,1598000000.0,1802000000.0,1174000000.0,753000000.0,771000000.0,726000000.0,759000000.0,1485000000.0
Other Cashflows From Investing Activities,-616000000.0,-192000000.0,623000000.0,476000000.0,-631000000.0,-617000000.0,-388000000.0,-69000000.0
Dividends Paid,-235000000.0,-88000000.0,-236000000.0,-148000000.0,-144000000.0,-139000000.0,-144000000.0,-140000000.0
Change To Inventory,248000000.0,472000000.0,1363000000.0,-722000000.0,-608000000.0,146000000.0,482000000.0,-990000000.0
Change To Account Receivables,826000000.0,-1413000000.0,1414000000.0,911000000.0,338000000.0,123000000.0,-518000000.0,-307000000.0
Other Cashflows From Financing Activities,-338000000.0,276000000.0,21000000.0,61000000.0,-1668000000.0,-127000000.0,-6001000000.0,-98000000.0
Change To Netincome,-414000000.0,1831000000.0,-5060000000.0,675000000.0,1496000000.0,644000000.0,4930000000.0,-23000000.0
Capital Expenditures,-587000000.0,-627000000.0,-1011000000.0,-332000000.0,-267000000.0,-296000000.0,-355000000.0,-340000000.0
