,2017-12-31,2018-12-31,2019-12-31,2020-12-31
Investments,-460000000.0,1067000000.0,-1135000000.0,-241000000.0
Change To Liabilities,51000000.0,-7000000.0,-93000000.0,63000000.0
Total Cashflows From Investing Activities,-1127000000.0,-78000000.0,-1920000000.0,-922000000.0
Net Borrowings,474000000.0,1000000000.0,741000000.0,998000000.0
Total Cash From Financing Activities,-3734000000.0,-6329000000.0,-4730000000.0,-4547000000.0
Change To Operating Activities,73000000.0,662000000.0,250000000.0,-16000000.0
Issuance Of Stock,483000000.0,373000000.0,539000000.0,470000000.0
Net Income,3682000000.0,5580000000.0,5017000000.0,5595000000.0
Change In Cash,502000000.0,782000000.0,-1000000.0,670000000.0
Repurchase Of Stock,-2556000000.0,-5100000000.0,-2960000000.0,-2553000000.0
Total Cash From Operating Activities,5363000000.0,7189000000.0,6649000000.0,6139000000.0
Depreciation,856000000.0,908000000.0,996000000.0,733000000.0
Other Cashflows From Investing Activities,-12000000.0,-23000000.0,32000000.0,-36000000.0
Dividends Paid,-2104000000.0,-2555000000.0,-3008000000.0,-3426000000.0
Change To Inventory,-167000000.0,-282000000.0,216000000.0,46000000.0
Change To Account Receivables,-7000000.0,71000000.0,133000000.0,-340000000.0
Other Cashflows From Financing Activities,-31000000.0,-47000000.0,-42000000.0,-36000000.0
Change To Netincome,360000000.0,53000000.0,269000000.0,-20000000.0
Capital Expenditures,-695000000.0,-1131000000.0,-847000000.0,-649000000.0
