,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31
Change To Liabilities,126000000.0,143000000.0,29000000.0,116000000.0,-148000000.0,125000000.0,-48000000.0
Total Cashflows From Investing Activities,-75000000.0,-67000000.0,-173000000.0,-46000000.0,-88000000.0,-1708000000.0,-112000000.0
Net Borrowings,532000000.0,-600000000.0,-600000000.0,1650000000.0,1650000000.0,1650000000.0,-25000000.0
Total Cash From Financing Activities,477000000.0,-42000000.0,-661000000.0,-102000000.0,-67000000.0,1565000000.0,-87000000.0
Change To Operating Activities,-40000000.0,-189000000.0,5000000.0,-71000000.0,-28000000.0,-90000000.0,23000000.0
Net Income,53000000.0,222000000.0,249000000.0,148000000.0,129000000.0,147000000.0,120000000.0
Change In Cash,603000000.0,113000000.0,-232000000.0,-105000000.0,-59000000.0,207000000.0,72000000.0
Repurchase Of Stock,-56000000.0,-56000000.0,-56000000.0,-56000000.0,-21000000.0,-17000000.0,-14000000.0
Total Cash From Operating Activities,201000000.0,222000000.0,602000000.0,43000000.0,96000000.0,350000000.0,271000000.0
Depreciation,60000000.0,59000000.0,70000000.0,65000000.0,63000000.0,74000000.0,91000000.0
Other Cashflows From Investing Activities,4000000.0,2000000.0,1000000.0,1000000.0,1000000.0,10000000.0,10000000.0
Dividends Paid,-42000000.0,-42000000.0,-46000000.0,-46000000.0,-46000000.0,-46000000.0,-48000000.0
Change To Inventory,-7000000.0,8000000.0,16000000.0,-5000000.0,2000000.0,-4000000.0,-18000000.0
Change To Account Receivables,3000000.0,3000000.0,179000000.0,-249000000.0,77000000.0,45000000.0,59000000.0
Change To Netincome,4000000.0,-26000000.0,52000000.0,37000000.0,50000000.0,50000000.0,42000000.0
Capital Expenditures,-79000000.0,-70000000.0,-133000000.0,-60000000.0,-74000000.0,-82000000.0,-115000000.0
Other Cashflows From Financing Activities,-13000000.0,-15000000.0,-15000000.0,-22000000.0,-22000000.0,-22000000.0,
Investments,-12000000.0,-12000000.0,-12000000.0,-12000000.0,-10000000.0,,
