,2020-06-27,2020-09-26,2020-12-31,2021-04-03,2021-07-03,2021-10-02
Change To Liabilities,-256000000.0,277000000.0,279000000.0,0.0,0.0,0.0
Total Cashflows From Investing Activities,-259000000.0,-365000000.0,-626000000.0,-1998000000.0,-626000000.0,-616000000.0
Net Borrowings,1213000000.0,-710000000.0,-1000000.0,-2804000000.0,-1000000.0,3120000000.0
Total Cash From Financing Activities,1180000000.0,-791000000.0,-49000000.0,-4850000000.0,-76000000.0,3040000000.0
Change To Operating Activities,742000000.0,730000000.0,359000000.0,-1321000000.0,-126000000.0,237000000.0
Issuance Of Stock,77000000.0,31000000.0,40000000.0,20000000.0,52000000.0,29000000.0
Net Income,1156000000.0,1933000000.0,2498000000.0,2337000000.0,1828000000.0,1902000000.0
Change In Cash,2827000000.0,1733000000.0,2766000000.0,-4733000000.0,1432000000.0,5013000000.0
Effect Of Exchange Rate,20000000.0,181000000.0,102000000.0,137000000.0,-93000000.0,-61000000.0
Total Cash From Operating Activities,1886000000.0,2708000000.0,3339000000.0,1978000000.0,2227000000.0,2650000000.0
Depreciation,574000000.0,575000000.0,602000000.0,621000000.0,660000000.0,628000000.0
Other Cashflows From Investing Activities,7000000.0,-6000000.0,-6000000.0,-32000000.0,-4000000.0,-2000000.0
Dividends Paid,-87000000.0,-87000000.0,-87000000.0,-87000000.0,-103000000.0,-102000000.0
Other Cashflows From Financing Activities,-23000000.0,-25000000.0,-1000000.0,21000000.0,-24000000.0,-7000000.0
Change To Netincome,-185000000.0,-26000000.0,126000000.0,341000000.0,-135000000.0,-117000000.0
Capital Expenditures,-269000000.0,-366000000.0,-586000000.0,-628000000.0,-540000000.0,-524000000.0
Repurchase Of Stock,-2000000000.0,-2000000000.0,-2000000000.0,-2000000000.0,,
Change To Inventory,-168000000.0,-118000000.0,-81000000.0,,,
Change To Account Receivables,23000000.0,-663000000.0,-444000000.0,,,
