,2017-12-31,2018-12-31,2019-12-31,2020-12-31
Investments,603000000.0,-1603000000.0,229000000.0,-1530000000.0
Change To Liabilities,0.0,0.0,0.0,0.0
Total Cashflows From Investing Activities,-9542000000.0,-19036000000.0,-261000000.0,-498000000.0
Net Borrowings,633000000.0,3180000000.0,-4147000000.0,-4108000000.0
Total Cash From Financing Activities,3116000000.0,8253000000.0,-6458000000.0,-8031000000.0
Change To Operating Activities,354000000.0,437000000.0,456000000.0,-48000000.0
Net Income,1935000000.0,2790000000.0,3747000000.0,1385000000.0
Change In Cash,2149000000.0,-1441000000.0,2271000000.0,-1042000000.0
Repurchase Of Stock,-1497000000.0,-1868000000.0,-3618000000.0,-985000000.0
Total Cash From Operating Activities,8575000000.0,9342000000.0,8990000000.0,7487000000.0
Depreciation,254000000.0,302000000.0,367000000.0,383000000.0
Other Cashflows From Investing Activities,-474000000.0,-802000000.0,-588000000.0,-390000000.0
Dividends Paid,-446000000.0,-534000000.0,-581000000.0,-562000000.0
Other Cashflows From Financing Activities,4426000000.0,7475000000.0,1154000000.0,-2376000000.0
Change To Netincome,6330000000.0,6093000000.0,4811000000.0,5428000000.0
