,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31
Change To Liabilities,-27646000.0,-133815000.0,453406000.0,-201962000.0,202862000.0,142167000.0,133867000.0,-48737000.0,381921000.0
Total Cashflows From Investing Activities,-18724000.0,-18638000.0,-37251000.0,-31636000.0,-63244000.0,-99796000.0,-458748000.0,-94143000.0,-67251000.0
Net Borrowings,142604000.0,-709510000.0,40326000.0,-174127000.0,116650000.0,644092000.0,614920000.0,314938000.0,364442000.0
Total Cash From Financing Activities,-314451000.0,-717982000.0,-189494000.0,-194874000.0,-16579000.0,375252000.0,220552000.0,-235297000.0,-49821000.0
Change To Operating Activities,-48195000.0,95239000.0,-14810000.0,-34099000.0,63878000.0,72076000.0,82959000.0,4187000.0,-32201000.0
Issuance Of Stock,73274000.0,19703000.0,2803000.0,41017000.0,27345000.0,8576000.0,12238000.0,622000.0,8810000.0
Net Income,147060000.0,158488000.0,188817000.0,209851000.0,184239000.0,196247000.0,234007000.0,225004000.0,217952000.0
Change In Cash,-123001000.0,-360890000.0,179514000.0,105759000.0,-45097000.0,627781000.0,-50366000.0,241758000.0,-161257000.0
Repurchase Of Stock,-530237000.0,-27124000.0,-231048000.0,-61501000.0,-162041000.0,-254544000.0,-405692000.0,-533445000.0,-422736000.0
Effect Of Exchange Rate,-209859000.0,-6405000.0,-6269000.0,74376000.0,-43124000.0,73733000.0,-55269000.0,-26324000.0,68068000.0
Total Cash From Operating Activities,420033000.0,382135000.0,412528000.0,257893000.0,77850000.0,278592000.0,243099000.0,597522000.0,-112253000.0
Depreciation,63388000.0,61019000.0,62543000.0,22231000.0,64924000.0,68470000.0,73411000.0,27566000.0,76040000.0
Change To Account Receivables,156052000.0,203633000.0,-309995000.0,214450000.0,-468593000.0,-237981000.0,-314326000.0,289763000.0,-818969000.0
Other Cashflows From Financing Activities,-92000.0,-1051000.0,-1575000.0,-263000.0,1467000.0,-22872000.0,-914000.0,-17412000.0,-337000.0
Change To Netincome,128020000.0,-3961000.0,30425000.0,5764000.0,29069000.0,35836000.0,31526000.0,51111000.0,61036000.0
Capital Expenditures,-18257000.0,-18613000.0,-18149000.0,-23406000.0,-19526000.0,-26239000.0,-28690000.0,-37075000.0,-31387000.0
Other Cashflows From Investing Activities,,,-2281000.0,-2281000.0,-2281000.0,-2281000.0,,,
Investments,52963000.0,52963000.0,52963000.0,,,,,,
