,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31
Intangible Assets,2169742000.0,2121304000.0,2115189000.0,2115882000.0,2050919000.0,2265574000.0,2369457000.0,2335385000.0
Capital Surplus,2657169000.0,2690966000.0,2713022000.0,2749900000.0,2794991000.0,2821453000.0,2850143000.0,2878751000.0
Total Liab,8513921000.0,7660283000.0,8156249000.0,7839168000.0,8130975000.0,9538036000.0,10279398000.0,10538073000.0
Total Stockholder Equity,2796229000.0,2966434000.0,2937750000.0,3355411000.0,3296499000.0,3488847000.0,3174985000.0,2866580000.0
Deferred Long Term Liab,6700000.0,6900000.0,7000000.0,43600000.0,7400000.0,6700000.0,6500000.0,44700000.0
Other Current Liab,1221361000.0,1041419000.0,1265406000.0,1437926000.0,1276967000.0,1726952000.0,1677897000.0,2047250000.0
Total Assets,11310150000.0,10626717000.0,11093999000.0,11194579000.0,11427474000.0,13026883000.0,13454383000.0,13404653000.0
Common Stock,125000.0,126000.0,126000.0,126000.0,127000.0,127000.0,127000.0,127000.0
Other Current Assets,617855000.0,527457000.0,679806000.0,696119000.0,580500000.0,891496000.0,844337000.0,840768000.0
Retained Earnings,4859789000.0,5018277000.0,5207094000.0,5416945000.0,5601184000.0,5797431000.0,6031438000.0,6256442000.0
Other Liab,727304000.0,830852000.0,801632000.0,629931000.0,707242000.0,802917000.0,807147000.0,700478000.0
Good Will,4583881000.0,4582250000.0,4613597000.0,4719181000.0,4693469000.0,5058174000.0,5102263000.0,5078978000.0
Treasury Stock,-4720854000.0,-4742935000.0,-4982492000.0,-4811560000.0,-5099803000.0,-5130164000.0,-5706723000.0,-6268740000.0
Other Assets,134118000.0,211722000.0,196764000.0,116409000.0,185695000.0,220454000.0,225872000.0,129155000.0
Cash,1070681000.0,765789000.0,788854000.0,934900000.0,958322000.0,1301207000.0,1271000000.0,1520027000.0
Total Current Liabilities,4460076000.0,3626968000.0,4195807000.0,3968311000.0,4313978000.0,4980418000.0,5666270000.0,5290351000.0
Short Long Term Debt,161916000.0,161950000.0,161985000.0,211319000.0,207253000.0,310080000.0,201397000.0,198028000.0
Other Stockholder Equity,-1592124000.0,-1581975000.0,-1583136000.0,-1363158000.0,-1481019000.0,-1265177000.0,-1436044000.0,-1464616000.0
Property Plant Equipment,265329000.0,185599000.0,189953000.0,279309000.0,200161000.0,216681000.0,220643000.0,321071000.0
Total Current Assets,4129012000.0,3464069000.0,3971016000.0,3956318000.0,4285373000.0,5254143000.0,5524291000.0,5488048000.0
Long Term Investments,28068000.0,61773000.0,7480000.0,7480000.0,11857000.0,11857000.0,11857000.0,52016000.0
Net Tangible Assets,-3957394000.0,-3737120000.0,-3791036000.0,-3479652000.0,-3447889000.0,-3834901000.0,-4296735000.0,-4547783000.0
Net Receivables,2157056000.0,1933343000.0,2240695000.0,2066775000.0,2505624000.0,2787155000.0,3169523000.0,2911274000.0
Long Term Debt,3246241000.0,3202463000.0,3158810000.0,3165526000.0,3109755000.0,3754701000.0,3805981000.0,4467339000.0
Accounts Payable,1058713000.0,1096303000.0,1297236000.0,1054478000.0,1348983000.0,1578266000.0,1726705000.0,1406350000.0
