Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2021-06-01-00-00-00,62.900002,63.84,61.860001000000004,63.689999,63.689999,18210100,,
2021-06-02-00-00-00,62.76,63.69,61.13,62.79,,16490800,0.0,0.0
2021-06-03-00-00-00,61.78,62.06,59.88,60.6,,15009100,0.0,0.0
2021-06-04-00-00-00,61.0,61.56,60.43,61.0,,11817700,0.0,0.0
2021-06-07-00-00-00,60.99,61.57,59.71,61.37,,9017100,0.0,0.0
2021-06-08-00-00-00,61.7,62.12,59.26,60.15,,13150100,0.0,0.0
2021-06-09-00-00-00,60.53,62.86,59.98,61.77,,16440600,0.0,0.0
2021-06-10-00-00-00,61.2,62.75,60.8,62.63,,10696900,0.0,0.0
2021-06-11-00-00-00,62.950001,65.07,62.330002,64.089996,64.089996,22200100,,
2021-06-14-00-00-00,64.56,65.66,63.23,63.57,,14734600,0.0,0.0
2021-06-15-00-00-00,63.06,63.39,62.06,62.28,,11037500,0.0,0.0
2021-06-16-00-00-00,62.41,63.29,59.44,60.2,,18611800,0.0,0.0
2021-06-17-00-00-00,59.63,63.06,59.62,62.29,,12760400,0.0,0.0
2021-06-18-00-00-00,61.8,64.63,61.65,63.17,,19813100,0.0,0.0
2021-06-21-00-00-00,63.06,64.12,61.11,63.6,,11216800,0.0,0.0
2021-06-22-00-00-00,63.619999,64.589996,62.279999,62.93,62.93,13023800,,
2021-06-23-00-00-00,63.200001,67.07,63.099998,66.349998,66.349998,25300600,,
2021-06-24-00-00-00,67.940002,69.349998,66.660004,67.650002,67.650002,27638500,,
2021-06-25-00-00-00,68.110001,68.519997,66.68,67.66999799999999,67.66999799999999,11103400,,
2021-06-28-00-00-00,67.760002,67.900002,65.760002,66.220001,66.220001,13654800,,
2021-06-29-00-00-00,66.52,68.17,66.14,67.57,,10093700,0.0,0.0
2021-06-30-00-00-00,66.85,68.83,66.6,68.14,,11060100,0.0,0.0
