,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31
Intangible Assets,3877200000.0,3920500000.0,3961100000.0,3834000000.0,3753800000.0,3755100000.0,3735500000.0
Total Liab,10476900000.0,10480600000.0,10691300000.0,10374700000.0,10151000000.0,10321400000.0,10091400000.0
Total Stockholder Equity,7352700000.0,8239100000.0,9359700000.0,10021500000.0,10245100000.0,10524500000.0,10273400000.0
Minority Interest,19500000.0,19900000.0,20700000.0,20900000.0,21000000.0,20600000.0,20600000.0
Other Current Liab,473300000.0,626900000.0,1241000000.0,540300000.0,546700000.0,593900000.0,1078000000.0
Total Assets,17849100000.0,18739600000.0,20071700000.0,20417100000.0,20417100000.0,20866500000.0,20385400000.0
Common Stock,9000000.0,9000000.0,9000000.0,9000000.0,8900000.0,8800000.0,8500000.0
Retained Earnings,7760600000.0,8464000000.0,9402300000.0,10171900000.0,10417400000.0,10786600000.0,10456800000.0
Other Liab,1322900000.0,1364700000.0,1431800000.0,1344600000.0,1328900000.0,1298800000.0,1164900000.0
Good Will,7422700000.0,7613800000.0,7751500000.0,7720500000.0,7744500000.0,7906800000.0,7958900000.0
Treasury Stock,-449000000.0,-314600000.0,-161900000.0,-226500000.0,-181200000.0,-270900000.0,-191900000.0
Other Assets,433700000.0,440400000.0,350900000.0,442500000.0,431900000.0,425800000.0,399600000.0
Cash,557000000.0,667200000.0,1320800000.0,1890800000.0,1963200000.0,2036500000.0,1472700000.0
Total Current Liabilities,3034400000.0,3009900000.0,3078500000.0,3368700000.0,2667100000.0,2888400000.0,2782900000.0
Deferred Long Term Asset Charges,4900000.0,3400000.0,20600000.0,20200000.0,23700000.0,23800000.0,21600000.0
Short Long Term Debt,790800000.0,376600000.0,376700000.0,501400000.0,1800000.0,1600000.0,1500000.0
Other Stockholder Equity,-449000000.0,-314600000.0,-161900000.0,-226500000.0,-181200000.0,-270900000.0,-191900000.0
Property Plant Equipment,2627700000.0,2608600000.0,2809300000.0,2697000000.0,2701800000.0,2692200000.0,2897100000.0
Total Current Assets,3413200000.0,4085600000.0,5125400000.0,5638100000.0,5693500000.0,6020500000.0,5330500000.0
Long Term Investments,74600000.0,70700000.0,73500000.0,85000000.0,91600000.0,66100000.0,63800000.0
Net Tangible Assets,-3947200000.0,-3295200000.0,-2352900000.0,-1533000000.0,-1253200000.0,-1137400000.0,-1421000000.0
Short Term Investments,,,,,800000.0,18500000.0,10900000.0
Net Receivables,2196400000.0,2698700000.0,3016600000.0,2903000000.0,2847100000.0,3055000000.0,2978300000.0
Long Term Debt,5416600000.0,5417300000.0,5419000000.0,4920900000.0,5422600000.0,5417200000.0,5416500000.0
Inventory,342300000.0,392500000.0,423200000.0,427500000.0,421300000.0,410700000.0,401400000.0
Accounts Payable,534100000.0,639500000.0,638900000.0,621300000.0,599900000.0,669400000.0,621300000.0
Capital Surplus,32100000.0,80700000.0,110300000.0,67100000.0,,,
