,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31
Investments,-5194000.0,-347061000.0,-326367000.0,-114819000.0,-19683000.0,-192293000.0,-597749000.0,62883000.0
Change To Liabilities,-32210000.0,-7805000.0,22176000.0,31609000.0,21088000.0,36089000.0,2853000.0,12414000.0
Total Cashflows From Investing Activities,-29282000.0,-391208000.0,-331973000.0,-149083000.0,-31079000.0,-201538000.0,-610322000.0,-303630000.0
Net Borrowings,-947000.0,-820000.0,-586000.0,957000.0,2667000.0,-5438000.0,4742000.0,3454000.0
Total Cash From Financing Activities,-7640000.0,20730000.0,6810000.0,-5701000.0,19993000.0,7236000.0,13293000.0,-4223000.0
Change To Operating Activities,-190000.0,62657000.0,-15000000.0,3980000.0,30175000.0,12778000.0,35252000.0,19435000.0
Issuance Of Stock,29867000.0,21698000.0,7396000.0,6761000.0,17725000.0,12674000.0,8563000.0,4510000.0
Net Income,311369000.0,347654000.0,471736000.0,315194000.0,403762000.0,337205000.0,321314000.0,294203000.0
Change In Cash,219490000.0,153404000.0,105683000.0,-1534000.0,405360000.0,128432000.0,-386209000.0,-311676000.0
Repurchase Of Stock,-36560000.0,-148000.0,-13419000.0,-13419000.0,-399000.0,-12000.0,-12000.0,-12187000.0
Effect Of Exchange Rate,7086000.0,15104000.0,15919000.0,-22223000.0,5333000.0,-18662000.0,-16939000.0,-3472000.0
Total Cash From Operating Activities,249326000.0,508778000.0,414927000.0,175473000.0,411113000.0,341396000.0,227759000.0,-351000.0
Depreciation,15511000.0,13822000.0,15094000.0,13777000.0,13712000.0,13227000.0,9439000.0,14599000.0
Other Cashflows From Investing Activities,-190000.0,-24890000.0,-195000.0,-18856000.0,-2380000.0,-1573000.0,11456000.0,-6241000.0
Change To Inventory,13144000.0,25309000.0,-9186000.0,-39546000.0,-12995000.0,-96873000.0,-128379000.0,-208673000.0
Change To Account Receivables,-84110000.0,30258000.0,81664000.0,-147452000.0,-92088000.0,40059000.0,-54747000.0,-134433000.0
Change To Netincome,16815000.0,22977000.0,-138066000.0,18274000.0,16948000.0,16538000.0,38246000.0,17807000.0
Capital Expenditures,-17997000.0,-12946000.0,-6660000.0,-8400000.0,-7122000.0,-12609000.0,-15737000.0,-21511000.0
