Datetime,Open,High,Low,Close,Adj Close,Volume
2022-01-24 04:00:00-05:00,126.97,126.97,126.97,126.97,126.97,0
2022-01-24 04:07:00-05:00,127.0,127.29,127.0,127.29,127.29,0
2022-01-24 04:08:00-05:00,127.43,127.43,127.43,127.43,127.43,0
2022-01-24 04:26:00-05:00,127.27,127.27,127.27,127.27,127.27,0
2022-01-24 04:27:00-05:00,127.24,127.24,127.24,127.24,127.24,0
2022-01-24 04:32:00-05:00,126.8,126.8,126.52,126.52,126.52,0
2022-01-24 04:33:00-05:00,127.25,127.25,127.25,127.25,127.25,0
2022-01-24 04:41:00-05:00,127.2,127.24,127.2,127.24,127.24,0
2022-01-24 04:54:00-05:00,126.79,126.79,126.79,126.79,126.79,0
2022-01-24 05:07:00-05:00,126.8,126.8,126.8,126.8,126.8,0
2022-01-24 05:10:00-05:00,127.2,127.2,126.79,126.79,126.79,0
2022-01-24 05:18:00-05:00,126.79,126.79,126.66,126.66,126.66,0
2022-01-24 05:19:00-05:00,126.9,127.21,126.9,127.21,127.21,0
2022-01-24 05:20:00-05:00,127.03,127.21,127.03,127.21,127.21,0
2022-01-24 05:26:00-05:00,126.66,126.66,126.66,126.66,126.66,0
2022-01-24 05:27:00-05:00,126.53,126.53,126.53,126.53,126.53,0
2022-01-24 05:29:00-05:00,126.88,127.21,126.5,126.52,126.52,0
2022-01-24 05:30:00-05:00,126.12,126.12,126.12,126.12,126.12,0
2022-01-24 05:32:00-05:00,126.84,126.95,126.84,126.95,126.95,0
2022-01-24 05:34:00-05:00,126.13,126.13,126.12,126.12,126.12,0
2022-01-24 05:36:00-05:00,126.29,126.29,126.12,126.12,126.12,0
2022-01-24 05:43:00-05:00,126.11,126.73,126.1,126.73,126.73,0
2022-01-24 05:44:00-05:00,126.2,126.29,126.2,126.29,126.29,0
2022-01-24 05:45:00-05:00,126.66,126.72,126.65,126.72,126.72,0
2022-01-24 05:46:00-05:00,126.66,126.93,126.66,126.93,126.93,0
2022-01-24 05:49:00-05:00,126.39,126.39,126.39,126.39,126.39,0
2022-01-24 05:50:00-05:00,126.13,126.13,126.13,126.13,126.13,0
2022-01-24 05:51:00-05:00,126.31,126.32,126.13,126.13,126.13,0
2022-01-24 05:54:00-05:00,126.32,126.67,126.32,126.65,126.65,0
2022-01-24 05:56:00-05:00,126.41,126.9,126.41,126.9,126.9,0
2022-01-24 05:57:00-05:00,126.9,127.0,126.9,126.98,126.98,0
2022-01-24 06:00:00-05:00,126.93,126.96,126.93,126.96,126.96,0
2022-01-24 06:01:00-05:00,126.48,126.98,126.48,126.98,126.98,0
2022-01-24 06:02:00-05:00,126.51,126.51,126.42,126.42,126.42,0
2022-01-24 06:03:00-05:00,126.41,126.41,126.41,126.41,126.41,0
2022-01-24 06:05:00-05:00,126.93,126.94,126.93,126.94,126.94,0
2022-01-24 06:10:00-05:00,126.72,126.98,126.72,126.98,126.98,0
2022-01-24 06:13:00-05:00,126.43,126.43,126.43,126.43,126.43,0
2022-01-24 06:38:00-05:00,126.5,126.53,126.5,126.53,126.53,0
2022-01-24 06:46:00-05:00,126.35,126.35,126.31,126.31,126.31,0
2022-01-24 06:48:00-05:00,126.5,126.5,126.27,126.27,126.27,0
2022-01-24 06:49:00-05:00,126.17,126.5,126.14,126.5,126.5,0
2022-01-24 06:57:00-05:00,126.5,126.5,126.5,126.5,126.5,0
2022-01-24 06:58:00-05:00,126.44,126.44,126.4,126.4,126.4,0
2022-01-24 06:59:00-05:00,126.4,126.4,126.4,126.4,126.4,0
2022-01-24 07:00:00-05:00,126.48,126.67,126.37,126.62,126.62,0
2022-01-24 07:01:00-05:00,126.62,126.65,126.55,126.62,126.62,0
2022-01-24 07:02:00-05:00,126.62,126.62,126.62,126.62,126.62,0
2022-01-24 07:07:00-05:00,126.7,126.7,126.62,126.62,126.62,0
2022-01-24 07:10:00-05:00,126.45,126.45,126.45,126.45,126.45,0
2022-01-24 07:11:00-05:00,126.47,126.47,126.43,126.43,126.43,0
2022-01-24 07:14:00-05:00,126.62,126.74,126.62,126.7,126.7,0
2022-01-24 07:15:00-05:00,126.73,126.75,126.73,126.75,126.75,0
2022-01-24 07:19:00-05:00,126.75,126.75,126.75,126.75,126.75,0
2022-01-24 07:21:00-05:00,126.7,126.81,126.7,126.8,126.8,0
2022-01-24 07:23:00-05:00,126.7,126.7,126.5,126.7,126.7,0
2022-01-24 07:24:00-05:00,126.7,126.7,126.7,126.7,126.7,0
2022-01-24 07:25:00-05:00,126.7,126.7,126.6,126.6,126.6,0
2022-01-24 07:26:00-05:00,126.66,126.7,126.66,126.7,126.7,0
2022-01-24 07:28:00-05:00,126.64,126.65,126.64,126.65,126.65,0
2022-01-24 07:30:00-05:00,126.63,126.65,126.63,126.65,126.65,0
2022-01-24 07:31:00-05:00,126.65,126.7,126.65,126.7,126.7,0
2022-01-24 07:33:00-05:00,126.6,126.6,126.55,126.55,126.55,0
2022-01-24 07:35:00-05:00,126.56,126.56,126.53,126.53,126.53,0
2022-01-24 07:38:00-05:00,126.53,126.56,126.53,126.56,126.56,0
2022-01-24 07:43:00-05:00,126.53,126.53,126.43,126.43,126.43,0
2022-01-24 07:44:00-05:00,126.42,126.42,125.85,125.85,125.85,0
2022-01-24 07:46:00-05:00,125.87,125.87,125.79,125.82,125.82,0
2022-01-24 07:47:00-05:00,125.93,125.96,125.93,125.96,125.96,0
2022-01-24 07:49:00-05:00,125.86,125.86,125.86,125.86,125.86,0
2022-01-24 07:50:00-05:00,125.81,125.81,125.81,125.81,125.81,0
2022-01-24 07:51:00-05:00,125.92,125.94,125.87,125.87,125.87,0
2022-01-24 07:52:00-05:00,125.94,126.0,125.86,125.86,125.86,0
2022-01-24 07:53:00-05:00,125.84,125.84,125.84,125.84,125.84,0
2022-01-24 07:54:00-05:00,125.9,126.0,125.9,126.0,126.0,0
2022-01-24 07:55:00-05:00,126.0,126.0,125.87,126.0,126.0,0
2022-01-24 07:56:00-05:00,126.0,126.0,125.87,125.87,125.87,0
2022-01-24 07:57:00-05:00,125.99,126.0,125.99,126.0,126.0,0
2022-01-24 07:59:00-05:00,125.87,125.87,125.81,125.81,125.81,0
2022-01-24 08:00:00-05:00,125.8001,126.82,125.8,126.0,126.0,0
2022-01-24 08:01:00-05:00,126.0,126.0,125.83,125.83,125.83,0
2022-01-24 08:02:00-05:00,125.8,125.99,125.67,125.99,125.99,0
2022-01-24 08:03:00-05:00,125.9,126.0,125.61,125.99,125.99,0
2022-01-24 08:04:00-05:00,125.89,125.96,125.89,125.96,125.96,0
2022-01-24 08:05:00-05:00,125.96,126.0,125.95,125.96,125.96,0
2022-01-24 08:06:00-05:00,126.0,126.0,125.78,126.0,126.0,0
2022-01-24 08:07:00-05:00,126.0,126.0,126.0,126.0,126.0,0
2022-01-24 08:08:00-05:00,125.99,125.99,125.85,125.85,125.85,0
2022-01-24 08:09:00-05:00,125.99,125.99,125.62,125.62,125.62,0
2022-01-24 08:10:00-05:00,125.82,126.0,125.71,126.0,126.0,0
2022-01-24 08:11:00-05:00,126.0,126.0,125.91,125.91,125.91,0
2022-01-24 08:12:00-05:00,125.9,125.91,125.9,125.91,125.91,0
2022-01-24 08:13:00-05:00,125.76,125.91,125.63,125.91,125.91,0
