,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31
Investments,-8523000.0,-1093000.0,-72658000.0,-460178000.0,-265970000.0
Change To Liabilities,159145000.0,273782000.0,306677000.0,105491000.0,104749000.0
Total Cashflows From Investing Activities,-302600000.0,-560684000.0,-721024000.0,-744085000.0,-1280897000.0
Net Borrowings,-551876000.0,-305009000.0,-103993000.0,-433804000.0,187821000.0
Total Cash From Financing Activities,-627742000.0,-506600000.0,-271949000.0,-222756000.0,-490631000.0
Change To Operating Activities,-192701000.0,683780000.0,-75271000.0,201028000.0,568532000.0
Net Income,697109000.0,1063219000.0,1282357000.0,751989000.0,1836574000.0
Change In Cash,-6593000.0,39125000.0,229801000.0,945502000.0,500534000.0
Repurchase Of Stock,-29549000.0,-190420000.0,-163563000.0,-93863000.0,-407467000.0
Effect Of Exchange Rate,29338000.0,-24840000.0,-606000.0,81564000.0,-92116000.0
Total Cash From Operating Activities,894411000.0,1131249000.0,1223380000.0,1830779000.0,2364178000.0
Depreciation,406114000.0,451988000.0,439224000.0,513736000.0,557771000.0
Other Cashflows From Investing Activities,2392000.0,-9215000.0,1074000.0,10516000.0,-23587000.0
Change To Account Receivables,-534190000.0,-773361000.0,-821134000.0,371009000.0,-765959000.0
Other Cashflows From Financing Activities,-46317000.0,-11171000.0,-4393000.0,304911000.0,-270985000.0
Change To Netincome,240000000.0,-556260000.0,357301000.0,-368827000.0,-194097000.0
Capital Expenditures,-178042000.0,-227803000.0,-293514000.0,-266575000.0,-209851000.0
