,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30
Investments,-10000000.0,-29000000.0,20000000.0,-2000000.0,-10000000.0,-26000000.0,-79000000.0,10000000.0,-12000000.0
Change To Liabilities,5447000000.0,-4121000000.0,-5410000000.0,-371000000.0,420000000.0,682000000.0,268000000.0,-771000000.0,-47000000.0
Total Cashflows From Investing Activities,-808000000.0,-530000000.0,-910000000.0,-649000000.0,-920000000.0,640000000.0,-1714000000.0,-845000000.0,-1205000000.0
Net Borrowings,-3957000000.0,-39000000.0,-34000000.0,33000000.0,1373000000.0,-356000000.0,2205000000.0,3120000000.0,1086000000.0
Total Cash From Financing Activities,-4007000000.0,-245000000.0,-316000000.0,-2104000000.0,-1242000000.0,-3003000000.0,-306000000.0,425000000.0,-1926000000.0
Net Income,1079000000.0,668000000.0,1426000000.0,1423000000.0,1450000000.0,2269000000.0,1814000000.0,1273000000.0,1155000000.0
Change In Cash,3907000000.0,1950000000.0,-4795000000.0,-763000000.0,90000000.0,-93000000.0,424000000.0,920000000.0,-1513000000.0
Repurchase Of Stock,-1527000000.0,-1527000000.0,-1527000000.0,-1527000000.0,-2287000000.0,-2329000000.0,-2072000000.0,-2101000000.0,-2682000000.0
Effect Of Exchange Rate,-1000000.0,8000000.0,14000000.0,2000000.0,1000000.0,-7000000.0,1000000.0,-5000000.0,-12000000.0
Total Cash From Operating Activities,8723000000.0,2717000000.0,-3583000000.0,1988000000.0,2251000000.0,2277000000.0,2443000000.0,1345000000.0,1630000000.0
Depreciation,691000000.0,694000000.0,662000000.0,697000000.0,712000000.0,716000000.0,728000000.0,732000000.0,738000000.0
Other Cashflows From Investing Activities,-39000000.0,-7000000.0,6000000.0,9000000.0,-2000000.0,-5000000.0,-6000000.0,-6000000.0,-5000000.0
Dividends Paid,-1000000.0,-169000000.0,-169000000.0,-169000000.0,-156000000.0,-151000000.0,-148000000.0,-177000000.0,-160000000.0
Change To Inventory,139000000.0,21000000.0,-268000000.0,-85000000.0,-128000000.0,-120000000.0,-207000000.0,-121000000.0,-341000000.0
Change To Account Receivables,751000000.0,-285000000.0,-603000000.0,-371000000.0,-196000000.0,-745000000.0,350000000.0,-427000000.0,-120000000.0
Other Cashflows From Financing Activities,-49000000.0,-206000000.0,-282000000.0,-441000000.0,-172000000.0,-167000000.0,-291000000.0,-417000000.0,-170000000.0
Change To Netincome,609000000.0,-391000000.0,602000000.0,687000000.0,-13000000.0,-532000000.0,-516000000.0,652000000.0,237000000.0
Capital Expenditures,-745000000.0,-489000000.0,-748000000.0,-654000000.0,-842000000.0,-889000000.0,-1192000000.0,-861000000.0,-1080000000.0
Change To Operating Activities,6123000000.0,6123000000.0,,,,,,,
