,2020-06-28,2020-09-27,2021-01-03,2021-04-04,2021-07-04,2021-10-03,2022-01-02,2022-04-03
Net Income,93700000.0,93900000.0,132100000.0,84700000.0,64700000.0,134100000.0,161800000.0,212600000.0
Change To Liabilities,-200000.0,-49300000.0,-33700000.0,20200000.0,4600000.0,51900000.0,1000000.0,0.0
Total Cashflows From Investing Activities,-16600000.0,-15200000.0,-18500000.0,-17600000.0,-3744200000.0,-28600000.0,-33900000.0,
Net Borrowings,-100000.0,-75000000.0,-22700000.0,2479300000.0,1000000000.0,-300100000.0,-345000000.0,
Total Cash From Financing Activities,17900000.0,-73700000.0,-15900000.0,2454000000.0,997400000.0,-304100000.0,-340200000.0,
Change To Operating Activities,-400000.0,27000000.0,41500000.0,-50300000.0,46200000.0,-41400000.0,51600000.0,
Issuance Of Stock,18000000.0,1300000.0,6800000.0,10800000.0,5100000.0,5500000.0,4000000.0,
Change In Cash,151400000.0,71700000.0,218600000.0,2561100000.0,-2539100000.0,-143300000.0,-77100000.0,
Effect Of Exchange Rate,-5700000.0,10300000.0,16600000.0,-200000.0,-3600000.0,-3400000.0,1400000.0,
Total Cash From Operating Activities,155800000.0,150300000.0,236400000.0,124900000.0,211300000.0,192800000.0,295600000.0,
Depreciation,29000000.0,29200000.0,28700000.0,29300000.0,59700000.0,90200000.0,192600000.0,
Other Cashflows From Investing Activities,100000.0,900000.0,900000.0,500000.0,500000.0,500000.0,100000.0,
Change To Inventory,10400000.0,33100000.0,27200000.0,17800000.0,2700000.0,-16800000.0,3300000.0,
Change To Account Receivables,15100000.0,8200000.0,39100000.0,-17200000.0,-10800000.0,-75000000.0,-55900000.0,
Other Cashflows From Financing Activities,-36100000.0,-36100000.0,-36100000.0,-36100000.0,-7700000.0,-9500000.0,800000.0,
Change To Netincome,8200000.0,8200000.0,1500000.0,40400000.0,44200000.0,49800000.0,-58800000.0,
Capital Expenditures,-16600000.0,-15200000.0,-19400000.0,-17600000.0,-20800000.0,-29200000.0,-34000000.0,
