,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31
Intangible Assets,,,,295000000.0,,,,304000000.0
Capital Surplus,40930000000.0,40997000000.0,41046000000.0,43767000000.0,43761000000.0,43788000000.0,44348000000.0,44371000000.0
Total Liab,111989000000.0,113438000000.0,114114000000.0,113204000000.0,113807000000.0,115840000000.0,115767000000.0,118451000000.0
Total Stockholder Equity,44959000000.0,43522000000.0,44044000000.0,46002000000.0,46224000000.0,46170000000.0,47345000000.0,47334000000.0
Minority Interest,1162000000.0,1127000000.0,1289000000.0,1220000000.0,1472000000.0,1413000000.0,1933000000.0,1840000000.0
Deferred Long Term Liab,13413000000.0,13285000000.0,13264000000.0,12421000000.0,12441000000.0,12485000000.0,12247000000.0,12487000000.0
Other Current Liab,4125000000.0,5182000000.0,5557000000.0,3210000000.0,4631000000.0,4651000000.0,5075000000.0,3318000000.0
Total Assets,160072000000.0,160049000000.0,161409000000.0,162388000000.0,163465000000.0,165385000000.0,167007000000.0,169587000000.0
Common Stock,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
Other Current Assets,2767000000.0,2802000000.0,2139000000.0,2085000000.0,2109000000.0,2463000000.0,2555000000.0,2783000000.0
Retained Earnings,4221000000.0,2707000000.0,3260000000.0,2471000000.0,2680000000.0,2687000000.0,3293000000.0,3265000000.0
Other Liab,39094000000.0,39228000000.0,39993000000.0,39934000000.0,40354000000.0,40904000000.0,41156000000.0,40998000000.0
Good Will,19303000000.0,19303000000.0,19303000000.0,19303000000.0,19303000000.0,19303000000.0,19303000000.0,19303000000.0
Treasury Stock,-193000000.0,-183000000.0,-263000000.0,-237000000.0,-218000000.0,-306000000.0,-297000000.0,-303000000.0
Other Assets,23316000000.0,24210000000.0,24622000000.0,25735000000.0,24913000000.0,25490000000.0,25276000000.0,27283000000.0
Cash,1450000000.0,341000000.0,308000000.0,259000000.0,379000000.0,367000000.0,548000000.0,343000000.0
Total Current Liabilities,15170000000.0,16690000000.0,16693000000.0,16305000000.0,17333000000.0,16211000000.0,15556000000.0,15931000000.0
Short Long Term Debt,5077000000.0,3756000000.0,4669000000.0,4109000000.0,5605000000.0,5011000000.0,4937000000.0,3236000000.0
Other Stockholder Equity,-193000000.0,-183000000.0,-263000000.0,-237000000.0,-218000000.0,-306000000.0,-297000000.0,-303000000.0
Property Plant Equipment,104741000000.0,105905000000.0,107337000000.0,106854000000.0,109169000000.0,110136000000.0,111523000000.0,111292000000.0
Total Current Assets,10181000000.0,9237000000.0,8679000000.0,8682000000.0,8508000000.0,8985000000.0,9436000000.0,9940000000.0
Long Term Investments,2531000000.0,1394000000.0,1468000000.0,1519000000.0,1572000000.0,1471000000.0,1469000000.0,1465000000.0
Net Tangible Assets,25656000000.0,24219000000.0,24741000000.0,26404000000.0,26921000000.0,26867000000.0,28042000000.0,27727000000.0
Net Receivables,2637000000.0,2802000000.0,3039000000.0,3153000000.0,2784000000.0,3088000000.0,3429000000.0,3610000000.0
Long Term Debt,56311000000.0,56143000000.0,56049000000.0,54909000000.0,54768000000.0,57410000000.0,57962000000.0,59684000000.0
Inventory,3324000000.0,3289000000.0,3190000000.0,3167000000.0,3076000000.0,3015000000.0,2900000000.0,3199000000.0
Accounts Payable,2364000000.0,2398000000.0,2486000000.0,3144000000.0,2497000000.0,2716000000.0,2888000000.0,3629000000.0
