,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31
Investments,-122000000.0,-105000000.0,-122000000.0,349000000.0,17000000.0,-3000000.0,-1000000.0,-13000000.0
Change To Liabilities,-657000000.0,19000000.0,75000000.0,563000000.0,-467000000.0,170000000.0,151000000.0,146000000.0
Total Cashflows From Investing Activities,-3022000000.0,-2449000000.0,-2493000000.0,-2640000000.0,-3137000000.0,-2477000000.0,-2586000000.0,-2735000000.0
Net Borrowings,3231000000.0,230000000.0,-507000000.0,-2954000000.0,1719000000.0,1321000000.0,-1080000000.0,-1960000000.0
Total Cash From Financing Activities,2593000000.0,-411000000.0,-957000000.0,506000000.0,1185000000.0,565000000.0,-590000000.0,1449000000.0
Change To Operating Activities,-661000000.0,-145000000.0,113000000.0,693000000.0,-290000000.0,-288000000.0,337000000.0,241000000.0
Net Income,938000000.0,-802000000.0,1304000000.0,-63000000.0,992000000.0,765000000.0,1405000000.0,746000000.0
Change In Cash,1125000000.0,-1057000000.0,-41000000.0,-44000000.0,136000000.0,-127000000.0,178000000.0,-223000000.0
Repurchase Of Stock,-75000000.0,-75000000.0,-75000000.0,-75000000.0,-5000000.0,-5000000.0,-5000000.0,-5000000.0
Total Cash From Operating Activities,1554000000.0,1803000000.0,3409000000.0,2090000000.0,2088000000.0,1785000000.0,3354000000.0,1063000000.0
Depreciation,1301000000.0,1350000000.0,1430000000.0,624000000.0,1385000000.0,1368000000.0,1436000000.0,801000000.0
Other Cashflows From Investing Activities,-68000000.0,-73000000.0,-66000000.0,24000000.0,-939000000.0,-53000000.0,-132000000.0,-9811000000.0
Change To Inventory,-92000000.0,36000000.0,99000000.0,-43000000.0,91000000.0,62000000.0,115000000.0,-268000000.0
Change To Account Receivables,466000000.0,-185000000.0,-223000000.0,-58000000.0,377000000.0,-292000000.0,-252000000.0,167000000.0
Other Cashflows From Financing Activities,29000000.0,-658000000.0,-468000000.0,3535000000.0,244000000.0,-756000000.0,1289000000.0,3414000000.0
Change To Netincome,146000000.0,1370000000.0,498000000.0,760000000.0,-104000000.0,-115000000.0,-50000000.0,-339000000.0
Capital Expenditures,-2832000000.0,-2271000000.0,-2305000000.0,-3013000000.0,-2215000000.0,-2421000000.0,-2453000000.0,7089000000.0
Dividends Paid,-707000000.0,,-783000000.0,-783000000.0,-783000000.0,-799000000.0,-799000000.0,
Issuance Of Stock,40000000.0,17000000.0,18000000.0,5000000.0,5000000.0,,,
