,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31
Investments,2000000.0,-8000000.0,1000000.0,-9000000.0,7000000.0,-5000000.0,-3000000.0
Change To Liabilities,0.0,0.0,433000000.0,0.0,0.0,0.0,835000000.0
Total Cashflows From Investing Activities,-219000000.0,-191000000.0,-236000000.0,-176000000.0,-185000000.0,-1095000000.0,-647000000.0
Net Borrowings,-40000000.0,-36000000.0,-97000000.0,-7000000.0,-36000000.0,36000000.0,77000000.0
Total Cash From Financing Activities,-73000000.0,-53000000.0,-198000000.0,-168000000.0,-863000000.0,-66000000.0,-138000000.0
Change To Operating Activities,-65000000.0,53000000.0,-9000000.0,-12000000.0,-154000000.0,53000000.0,98000000.0
Net Income,-23000000.0,101000000.0,119000000.0,212000000.0,175000000.0,261000000.0,318000000.0
Change In Cash,182000000.0,355000000.0,350000000.0,491000000.0,-498000000.0,-337000000.0,-104000000.0
Repurchase Of Stock,-1000000.0,-101000000.0,-101000000.0,-62000000.0,-45000000.0,-95000000.0,-204000000.0
Effect Of Exchange Rate,2000000.0,25000000.0,34000000.0,-32000000.0,11000000.0,-20000000.0,-11000000.0
Total Cash From Operating Activities,472000000.0,574000000.0,750000000.0,867000000.0,539000000.0,844000000.0,692000000.0
Depreciation,308000000.0,319000000.0,77000000.0,323000000.0,343000000.0,336000000.0,51000000.0
Other Cashflows From Investing Activities,-1000000.0,-2000000.0,-2000000.0,1000000.0,-1000000.0,1000000.0,4000000.0
Change To Account Receivables,292000000.0,120000000.0,-73000000.0,342000000.0,139000000.0,182000000.0,-801000000.0
Other Cashflows From Financing Activities,-32000000.0,-17000000.0,-99000000.0,-99000000.0,-782000000.0,-7000000.0,-11000000.0
Change To Netincome,-45000000.0,-24000000.0,14000000.0,-3000000.0,31000000.0,8000000.0,-21000000.0
Capital Expenditures,-142000000.0,-157000000.0,-176000000.0,-149000000.0,-145000000.0,-162000000.0,-184000000.0
