,2017-09-30,2018-09-30,2019-09-30,2020-09-30,2021-09-30
Intangible Assets,5893000000.0,16441000000.0,14978000000.0,13813000000.0,12783000000.0
Capital Surplus,9619000000.0,16179000000.0,16270000000.0,19270000000.0,19272000000.0
Total Liab,24786000000.0,32910000000.0,30684000000.0,30247000000.0,30189000000.0
Total Stockholder Equity,12946000000.0,20992000000.0,21079000000.0,23763000000.0,23675000000.0
Other Current Liab,176000000.0,344000000.0,140000000.0,143000000.0,176000000.0
Total Assets,37734000000.0,53904000000.0,51765000000.0,54012000000.0,53866000000.0
Common Stock,347000000.0,347000000.0,347000000.0,365000000.0,365000000.0
Other Current Assets,,233000000.0,55000000.0,92000000.0,108000000.0
Retained Earnings,13111000000.0,12596000000.0,12913000000.0,12791000000.0,13826000000.0
Other Liab,2777000000.0,6800000000.0,6948000000.0,6851000000.0,6109000000.0
Good Will,7563000000.0,23600000000.0,23376000000.0,23620000000.0,23901000000.0
Treasury Stock,-10131000000.0,-8130000000.0,-8451000000.0,-8663000000.0,-9788000000.0
Other Assets,1007000000.0,1077000000.0,1088000000.0,1269000000.0,1505000000.0
Cash,14179000000.0,1140000000.0,536000000.0,2825000000.0,2283000000.0
Total Current Liabilities,3342000000.0,7216000000.0,5655000000.0,5836000000.0,6626000000.0
Deferred Long Term Asset Charges,,,,,1343000000.0
Short Long Term Debt,203000000.0,1891000000.0,1309000000.0,707000000.0,500000000.0
Other Stockholder Equity,-1704000000.0,-1887000000.0,-2261000000.0,-2525000000.0,-2065000000.0
Property Plant Equipment,4638000000.0,5375000000.0,5659000000.0,6341000000.0,6839000000.0
Total Current Assets,18633000000.0,7411000000.0,6664000000.0,8969000000.0,8838000000.0
Net Tangible Assets,-510000000.0,-19049000000.0,-17275000000.0,-13670000000.0,-13009000000.0
Short Term Investments,21000000.0,17000000.0,30000000.0,20000000.0,12000000.0
Net Receivables,1744000000.0,2319000000.0,2345000000.0,2398000000.0,2497000000.0
Long Term Debt,18667000000.0,18894000000.0,18081000000.0,17224000000.0,17110000000.0
Inventory,1818000000.0,2451000000.0,2579000000.0,2743000000.0,2866000000.0
Accounts Payable,797000000.0,1106000000.0,1092000000.0,1355000000.0,1793000000.0
