,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30
Investments,-10000000.0,2000000.0,5000000.0,2000000.0,-5000000.0,1000000.0,-31000000.0,-36000000.0,-22000000.0,-2000000.0
Change To Liabilities,-559000000.0,430000000.0,1083000000.0,-441000000.0,-582000000.0,1193000000.0,1749000000.0,-245000000.0,-465000000.0,1015000000.0
Total Cashflows From Investing Activities,320000000.0,2555000000.0,-263000000.0,-169000000.0,-225000000.0,-893000000.0,-1382000000.0,-342000000.0,-305000000.0,-301000000.0
Net Borrowings,-3382000000.0,-1521000000.0,1727000000.0,1322000000.0,-1481000000.0,-770000000.0,639000000.0,3574000000.0,-1409000000.0,-2646000000.0
Total Cash From Financing Activities,-3570000000.0,-1715000000.0,1520000000.0,1077000000.0,-1653000000.0,-978000000.0,436000000.0,3318000000.0,-1827000000.0,-3855000000.0
Change To Operating Activities,-1138000000.0,-1146000000.0,-185000000.0,1190000000.0,1125000000.0,933000000.0,904000000.0,1241000000.0,-1920000000.0,88000000.0
Net Income,469000000.0,225000000.0,687000000.0,689000000.0,712000000.0,526000000.0,782000000.0,1054000000.0,1236000000.0,1031000000.0
Change In Cash,-3031000000.0,-240000000.0,387000000.0,1206000000.0,831000000.0,975000000.0,-204000000.0,1770000000.0,-1601000000.0,-133000000.0
Repurchase Of Stock,-5000000.0,-5000000.0,-16000000.0,,,-200000000.0,-200000000.0,-200000000.0,-200000000.0,-1000000000.0
Total Cash From Operating Activities,219000000.0,-1080000000.0,-870000000.0,298000000.0,2709000000.0,2846000000.0,742000000.0,-1206000000.0,531000000.0,4023000000.0
Depreciation,244000000.0,238000000.0,249000000.0,249000000.0,243000000.0,247000000.0,257000000.0,257000000.0,257000000.0,260000000.0
Other Cashflows From Investing Activities,-4000000.0,-13000000.0,-11000000.0,-11000000.0,-6000000.0,-126000000.0,-5000000.0,-94000000.0,-7000000.0,3000000.0
Dividends Paid,-202000000.0,-202000000.0,-202000000.0,-208000000.0,-209000000.0,-209000000.0,-208000000.0,-226000000.0,-227000000.0,-224000000.0
Change To Inventory,1257000000.0,-1069000000.0,-2796000000.0,-1138000000.0,1361000000.0,182000000.0,-3244000000.0,-2881000000.0,2532000000.0,939000000.0
Change To Account Receivables,-113000000.0,21000000.0,194000000.0,-515000000.0,-195000000.0,-350000000.0,482000000.0,-937000000.0,-1218000000.0,542000000.0
Other Cashflows From Financing Activities,14000000.0,13000000.0,11000000.0,-37000000.0,37000000.0,1000000.0,5000000.0,-30000000.0,9000000.0,15000000.0
Change To Netincome,59000000.0,221000000.0,-102000000.0,264000000.0,45000000.0,115000000.0,-188000000.0,305000000.0,109000000.0,148000000.0
Capital Expenditures,-166000000.0,-198000000.0,-265000000.0,-174000000.0,-253000000.0,-287000000.0,-455000000.0,-217000000.0,-283000000.0,-341000000.0
