,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30
Change To Liabilities,18000000.0,-73000000.0,17000000.0,233000000.0,329000000.0,-242000000.0,-45000000.0,496000000.0,188000000.0,0.0
Total Cashflows From Investing Activities,3000000.0,-643000000.0,174000000.0,-543000000.0,-527000000.0,127000000.0,-65000000.0,39000000.0,-760000000.0,-167000000.0
Total Cash From Financing Activities,407000000.0,1195000000.0,-305000000.0,82000000.0,-363000000.0,-544000000.0,-89000000.0,-168000000.0,-38000000.0,-90000000.0
Change To Operating Activities,672000000.0,142000000.0,-805000000.0,-73000000.0,31000000.0,-159000000.0,110000000.0,248000000.0,99000000.0,-138000000.0
Net Income,-214000000.0,-431000000.0,-447000000.0,-131000000.0,397000000.0,194000000.0,18000000.0,-143000000.0,139000000.0,40000000.0
Change In Cash,698000000.0,347000000.0,-481000000.0,-294000000.0,-50000000.0,-523000000.0,-25000000.0,158000000.0,150000000.0,-83000000.0
Total Cash From Operating Activities,288000000.0,-205000000.0,-350000000.0,167000000.0,840000000.0,-106000000.0,129000000.0,287000000.0,948000000.0,174000000.0
Depreciation,107000000.0,105000000.0,100000000.0,97000000.0,98000000.0,99000000.0,100000000.0,102000000.0,104000000.0,104000000.0
Other Cashflows From Investing Activities,2000000.0,-1000000.0,-31000000.0,-5000000.0,-4000000.0,-4000000.0,-3000000.0,327000000.0,-1000000.0,148000000.0
Other Cashflows From Financing Activities,32000000.0,-8000000.0,39000000.0,8000000.0,29000000.0,-3000000.0,23000000.0,-168000000.0,31000000.0,-90000000.0
Change To Netincome,-295000000.0,52000000.0,945000000.0,41000000.0,-15000000.0,2000000.0,12000000.0,80000000.0,421000000.0,168000000.0
Capital Expenditures,-49000000.0,-36000000.0,-2000000.0,-27000000.0,-75000000.0,-88000000.0,-102000000.0,-288000000.0,-344000000.0,-315000000.0
Investments,50000000.0,-606000000.0,-72000000.0,-511000000.0,-452000000.0,219000000.0,38000000.0,328000000.0,-415000000.0,
Net Borrowings,375000000.0,1203000000.0,-344000000.0,74000000.0,-392000000.0,-541000000.0,-112000000.0,-170000000.0,-69000000.0,
Change To Account Receivables,-160000000.0,-160000000.0,-160000000.0,-66000000.0,-66000000.0,-66000000.0,-66000000.0,-112000000.0,-3000000.0,
