,2020-06-28,2020-09-27,2020-12-27,2021-03-28,2021-06-27,2021-09-26,2021-12-26,2022-03-27,2022-06-26,2022-09-25
Investments,-4412948000.0,-4412948000.0,-4412948000.0,,,,-146300000.0,-146300000.0,-146300000.0,-146300000.0
Change To Liabilities,-28633000.0,363394000.0,30308000.0,-382600000.0,213300000.0,479800000.0,2700000.0,-464400000.0,191400000.0,273000000.0
Total Cashflows From Investing Activities,-24295000.0,-16905000.0,-28540000.0,-25500000.0,-40800000.0,343800000.0,-35500000.0,-23900000.0,-188700000.0,-53200000.0
Net Borrowings,-45299000.0,-32386000.0,-59885000.0,-270500000.0,-256100000.0,-414100000.0,-141000000.0,-29300000.0,-23900000.0,-3900000.0
Total Cash From Financing Activities,-141005000.0,-127946000.0,-144569000.0,-370800000.0,-347600000.0,-505100000.0,-236300000.0,-77500000.0,-242400000.0,-123100000.0
Change To Operating Activities,-46027000.0,3913000.0,-108543000.0,-101000000.0,-175300000.0,-251700000.0,-254600000.0,-103300000.0,-191000000.0,-342200000.0
Net Income,-33915000.0,220898000.0,105173000.0,116200000.0,-22900000.0,253200000.0,82200000.0,61200000.0,142000000.0,129200000.0
Change In Cash,-199868000.0,94389000.0,317271000.0,-19300000.0,-202200000.0,-47000000.0,-162000000.0,38700000.0,-429700000.0,-76600000.0
Repurchase Of Stock,-362000.0,-266000.0,-105000.0,-9300000.0,-200000.0,-1300000.0,-2900000.0,-19300000.0,-124300000.0,-2500000.0
Effect Of Exchange Rate,-1280000.0,3269000.0,8350000.0,-600000.0,4900000.0,-12400000.0,-22500000.0,5400000.0,-11700000.0,-9900000.0
Total Cash From Operating Activities,-33288000.0,235971000.0,482030000.0,377600000.0,199500000.0,108500000.0,132300000.0,134700000.0,13100000.0,114400000.0
Depreciation,67623000.0,73685000.0,63190000.0,57900000.0,72300000.0,76300000.0,73600000.0,52200000.0,63800000.0,59600000.0
Other Cashflows From Investing Activities,8881000.0,11145000.0,14174000.0,-1600000.0,-1600000.0,-400000.0,-200000.0,5300000.0,4200000.0,1700000.0
Dividends Paid,-93081000.0,-93180000.0,-93229000.0,-93400000.0,-94100000.0,-93200000.0,-93800000.0,-94500000.0,-97400000.0,-96700000.0
Change To Inventory,-111423000.0,28449000.0,159664000.0,-42100000.0,-67400000.0,-49900000.0,-14500000.0,-99600000.0,-225100000.0,324700000.0
Change To Account Receivables,68286000.0,-556380000.0,45230000.0,592000000.0,-58100000.0,-617700000.0,-75700000.0,559800000.0,-42300000.0,-517500000.0
Other Cashflows From Financing Activities,-2263000.0,-2114000.0,-6112000.0,-2300000.0,-1900000.0,-11700000.0,-4600000.0,-4600000.0,-800000.0,-20000000.0
Change To Netincome,126000.0,34952000.0,68197000.0,39700000.0,145300000.0,30600000.0,86100000.0,-9700000.0,12000000.0,388400000.0
Capital Expenditures,-33176000.0,-28050000.0,-33695000.0,-23900000.0,-39200000.0,-35000000.0,-34600000.0,-29200000.0,-46600000.0,-54900000.0
Issuance Of Stock,14762000.0,14762000.0,14762000.0,4700000.0,4700000.0,15200000.0,6000000.0,70200000.0,4000000.0,
