,2018-01-31,2019-01-31,2020-01-31,2021-01-31,2022-01-31
Investments,-1452000000.0,402000000.0,-1968000000.0,-1980000000.0,1057000000.0
Change To Liabilities,1489000000.0,1790000000.0,2647000000.0,2972000000.0,3136000000.0
Total Cashflows From Investing Activities,-2011000000.0,-5308000000.0,-2980000000.0,-3971000000.0,-14536000000.0
Net Borrowings,-429000000.0,1306000000.0,-676000000.0,-127000000.0,6549000000.0
Total Cash From Financing Activities,221000000.0,2010000000.0,164000000.0,1194000000.0,7838000000.0
Change To Operating Activities,-746000000.0,-1039000000.0,-1977000000.0,-2608000000.0,-2970000000.0
Issuance Of Stock,650000000.0,704000000.0,840000000.0,1321000000.0,1289000000.0
Net Income,360000000.0,1110000000.0,126000000.0,4072000000.0,1444000000.0
Change In Cash,936000000.0,126000000.0,1476000000.0,2050000000.0,-731000000.0
Effect Of Exchange Rate,-12000000.0,26000000.0,-39000000.0,26000000.0,-33000000.0
Total Cash From Operating Activities,2738000000.0,3398000000.0,4331000000.0,4801000000.0,6000000000.0
Depreciation,784000000.0,982000000.0,2135000000.0,2668000000.0,2462000000.0
Change To Account Receivables,-719000000.0,-923000000.0,-1000000000.0,-1556000000.0,-1824000000.0
Change To Netincome,978000000.0,741000000.0,1524000000.0,-1983000000.0,1568000000.0
Capital Expenditures,-534000000.0,-595000000.0,-643000000.0,-710000000.0,-717000000.0
Other Cashflows From Financing Activities,,,,,
