,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30
Investments,-127095000.0,-587762000.0,-38331000.0,-112000000.0,-4000000.0,-74000000.0,-247000000.0,-186000000.0,-593000000.0,-470000000.0
Change To Liabilities,26046000.0,-38235000.0,609078000.0,164000000.0,-4000000.0,-74000000.0,929000000.0,90000000.0,6000000.0,-136000000.0
Total Cashflows From Investing Activities,-243075000.0,-702244000.0,-176519000.0,-437000000.0,-614000000.0,-197000000.0,-359000000.0,-280000000.0,-800000000.0,-629000000.0
Total Cash From Financing Activities,-102211000.0,963378000.0,-203492000.0,-124000000.0,-149000000.0,-78000000.0,-155000000.0,-51000000.0,-178000000.0,-40000000.0
Change To Operating Activities,-43180000.0,-82127000.0,49811000.0,-312000000.0,-73000000.0,-163000000.0,-8000000.0,-386000000.0,-88000000.0,-165000000.0
Issuance Of Stock,24148000.0,51444000.0,3266000.0,95000000.0,70000000.0,70000000.0,2000000.0,105000000.0,1000000.0,71000000.0
Net Income,40766000.0,12858000.0,16648000.0,82000000.0,59000000.0,63000000.0,26000000.0,75000000.0,20000000.0,80000000.0
Change In Cash,28555000.0,510407000.0,327620000.0,148000000.0,-456000000.0,35000000.0,326000000.0,527000000.0,-589000000.0,-416000000.0
Repurchase Of Stock,-112857000.0,-122113000.0,-147934000.0,-191000000.0,-124000000.0,-142000000.0,-155000000.0,-150000000.0,-91000000.0,-111000000.0
Effect Of Exchange Rate,5787000.0,7821000.0,22106000.0,-18000000.0,7000000.0,-10000000.0,-4000000.0,-5000000.0,-44000000.0,-12000000.0
Total Cash From Operating Activities,368054000.0,241452000.0,685525000.0,727000000.0,300000000.0,320000000.0,844000000.0,863000000.0,433000000.0,265000000.0
Depreciation,82390000.0,84720000.0,93033000.0,106000000.0,115000000.0,125000000.0,126000000.0,101000000.0,105000000.0,109000000.0
Other Cashflows From Investing Activities,984000.0,1873000.0,2091000.0,7000000.0,-6000000.0,11000000.0,2000000.0,-1000000.0,1000000.0,3000000.0
Change To Account Receivables,-8774000.0,10260000.0,-361706000.0,354000000.0,-130000000.0,-5000000.0,-620000000.0,562000000.0,-51000000.0,-66000000.0
Change To Netincome,210584000.0,193072000.0,215729000.0,265000000.0,265000000.0,299000000.0,301000000.0,338000000.0,355000000.0,351000000.0
Capital Expenditures,-110464000.0,-91656000.0,-134000000.0,-107000000.0,-91000000.0,-94000000.0,-100000000.0,-93000000.0,-151000000.0,-162000000.0
Net Borrowings,-13502000.0,-71495000.0,-58824000.0,-28000000.0,-25000000.0,-6000000.0,-2000000.0,-6000000.0,-88000000.0,
Other Cashflows From Financing Activities,1105542000.0,1105542000.0,,,,,,,,
