,2020-07-31,2020-10-31,2021-01-31,2021-04-30,2021-07-31,2021-10-31,2022-01-31,2022-04-30
Intangible Assets,66893000.0,65910000.0,64413000.0,62484000.0,68643000.0,66727000.0,66369000.0,65214000.0
Capital Surplus,672727000.0,701654000.0,718497000.0,733581000.0,761834000.0,776858000.0,797955000.0,811900000.0
Total Liab,965745000.0,1030355000.0,991846000.0,1032569000.0,1032942000.0,1125031000.0,1047100000.0,1090820000.0
Total Stockholder Equity,2489516000.0,2710833000.0,2942592000.0,3249377000.0,3529201000.0,3793821000.0,4089856000.0,4353054000.0
Other Current Liab,100962000.0,22116000.0,23103000.0,29800000.0,134102000.0,57126000.0,27035000.0,27994000.0
Total Assets,3455261000.0,3741188000.0,3934438000.0,4281946000.0,4562143000.0,4918852000.0,5136956000.0,5443874000.0
Common Stock,24000.0,24000.0,24000.0,24000.0,24000.0,24000.0,24000.0,24000.0
Other Current Assets,333880000.0,398499000.0,461288000.0,424443000.0,479451000.0,562362000.0,630737000.0,566131000.0
Retained Earnings,1937853000.0,2137649000.0,2330791000.0,2617436000.0,2868203000.0,3128317000.0,3415379000.0,3693726000.0
Other Liab,117081000.0,122484000.0,132821000.0,113404000.0,116314000.0,123260000.0,126952000.0,139382000.0
Good Will,343622000.0,342576000.0,346966000.0,347515000.0,355717000.0,354062000.0,352908000.0,348000000.0
Treasury Stock,-121088000.0,-128494000.0,-106720000.0,-101664000.0,-100860000.0,-111378000.0,-123502000.0,-152596000.0
Other Assets,39934000.0,30238000.0,34787000.0,39285000.0,41831000.0,39141000.0,55622000.0,73779000.0
Cash,477718000.0,605732000.0,616403000.0,911890000.0,1048260000.0,1298373000.0,971651000.0,1454818000.0
Total Current Liabilities,356044000.0,407536000.0,371015000.0,413045000.0,421031000.0,491911000.0,417860000.0,449095000.0
Other Stockholder Equity,-121088000.0,-128494000.0,-106720000.0,-101664000.0,-100860000.0,-111378000.0,-123502000.0,-152596000.0
Property Plant Equipment,2041053000.0,2164288000.0,2262805000.0,2333291000.0,2393341000.0,2419142000.0,2472684000.0,2499455000.0
Total Current Assets,963759000.0,1138176000.0,1225467000.0,1499371000.0,1702611000.0,2039780000.0,2189373000.0,2457426000.0
Net Tangible Assets,2079001000.0,2302347000.0,2531213000.0,2839378000.0,3104841000.0,3373032000.0,3670579000.0,3939840000.0
Short Term Investments,,,,,,,374866000.0,224889000.0
Net Receivables,116751000.0,94441000.0,100543000.0,107703000.0,115638000.0,116806000.0,139214000.0,135392000.0
Long Term Debt,396470000.0,411845000.0,402703000.0,397633000.0,397636000.0,408940000.0,403829000.0,402733000.0
Inventory,20080000.0,28244000.0,30203000.0,39229000.0,44968000.0,48194000.0,52979000.0,56988000.0
Accounts Payable,132919000.0,359816000.0,324108000.0,359239000.0,163237000.0,411249000.0,367699000.0,398414000.0
Deferred Long Term Asset Charges,213000.0,212000.0,221000.0,,,,,
